Subset|Measure|Year|Value|Intercept|Slope|N
Central MSA US Counties of 250k-1M (n=231) (slope=19.19%)|MD Specialists Per 100k|2011|57.205372213|-328.3174087|0.1918667287|231
Central MSA US Counties of 250k-1M (n=231) (slope=19.19%)|MD Specialists Per 100k|2012|58.181944549|-328.3174087|0.1918667287|231
Central MSA US Counties of 250k-1M (n=231) (slope=19.19%)|MD Specialists Per 100k|2013|59.176479372|-328.3174087|0.1918667287|231
Central MSA US Counties of 250k-1M (n=231) (slope=19.19%)|MD Specialists Per 100k|2014|58.867029336|-328.3174087|0.1918667287|231
Central MSA US Counties of 250k-1M (n=231) (slope=19.19%)|MD Specialists Per 100k|2015|57.957603621|-328.3174087|0.1918667287|231
Central MSA US Counties of 250k-1M (n=231) (slope=19.19%)|MD Specialists Per 100k|2016|58.505142191|-328.3174087|0.1918667287|231
Central MSA US Counties of 250k-1M (n=231) (slope=19.19%)|MD Specialists Per 100k|2017|58.528812441|-328.3174087|0.1918667287|231
Central MSA US Counties of 250k-1M (n=231) (slope=19.19%)|MD Specialists Per 100k|2018|58.257962484|-328.3174087|0.1918667287|231
Central MSA US Counties of 250k-1M (n=231) (slope=19.19%)|MD Specialists Per 100k|2019|59.042843906|-328.3174087|0.1918667287|231
Central MSA US Counties of 250k-1M (n=231) (slope=19.19%)|MD Specialists Per 100k|2020|59.274140689|-328.3174087|0.1918667287|231
Central MSA US Counties of 250k-1M (n=231) (slope=32.09%)|MDs/DOs Per 100k|2010|177.54547549|-464.7791539|0.3208960836|231
Central MSA US Counties of 250k-1M (n=231) (slope=32.09%)|MDs/DOs Per 100k|2011|179.9509503|-464.7791539|0.3208960836|231
Central MSA US Counties of 250k-1M (n=231) (slope=32.09%)|MDs/DOs Per 100k|2012|181.77359585|-464.7791539|0.3208960836|231
Central MSA US Counties of 250k-1M (n=231) (slope=32.09%)|MDs/DOs Per 100k|2013|185.03321173|-464.7791539|0.3208960836|231
Central MSA US Counties of 250k-1M (n=231) (slope=32.09%)|MDs/DOs Per 100k|2014|182.93905338|-464.7791539|0.3208960836|231
Central MSA US Counties of 250k-1M (n=231) (slope=32.09%)|MDs/DOs Per 100k|2015|180.40946815|-464.7791539|0.3208960836|231
Central MSA US Counties of 250k-1M (n=231) (slope=32.09%)|MDs/DOs Per 100k|2016|182.0223508|-464.7791539|0.3208960836|231
Central MSA US Counties of 250k-1M (n=231) (slope=32.09%)|MDs/DOs Per 100k|2017|182.46291341|-464.7791539|0.3208960836|231
Central MSA US Counties of 250k-1M (n=231) (slope=32.09%)|MDs/DOs Per 100k|2018|181.23919193|-464.7791539|0.3208960836|231
Central MSA US Counties of 250k-1M (n=231) (slope=32.09%)|MDs/DOs Per 100k|2019|183.08369043|-464.7791539|0.3208960836|231
Central MSA US Counties of 250k-1M (n=231) (slope=32.09%)|MDs/DOs Per 100k|2020|183.63109942|-464.7791539|0.3208960836|231
Central MSA US Counties of 250k-1M (n=231) (slope=8.07%)|MD GPs Per 100k|2010|26.723941059|-135.3151948|0.080746322|231
Central MSA US Counties of 250k-1M (n=231) (slope=8.07%)|MD GPs Per 100k|2011|27.173955066|-135.3151948|0.080746322|231
Central MSA US Counties of 250k-1M (n=231) (slope=8.07%)|MD GPs Per 100k|2012|27.164495283|-135.3151948|0.080746322|231
Central MSA US Counties of 250k-1M (n=231) (slope=8.07%)|MD GPs Per 100k|2013|27.537011693|-135.3151948|0.080746322|231
Central MSA US Counties of 250k-1M (n=231) (slope=8.07%)|MD GPs Per 100k|2014|27.307961962|-135.3151948|0.080746322|231
Central MSA US Counties of 250k-1M (n=231) (slope=8.07%)|MD GPs Per 100k|2015|27.296722744|-135.3151948|0.080746322|231
Central MSA US Counties of 250k-1M (n=231) (slope=8.07%)|MD GPs Per 100k|2016|27.590809246|-135.3151948|0.080746322|231
Central MSA US Counties of 250k-1M (n=231) (slope=8.07%)|MD GPs Per 100k|2017|27.471088371|-135.3151948|0.080746322|231
Central MSA US Counties of 250k-1M (n=231) (slope=8.07%)|MD GPs Per 100k|2018|27.416330567|-135.3151948|0.080746322|231
Central MSA US Counties of 250k-1M (n=231) (slope=8.07%)|MD GPs Per 100k|2019|27.672729991|-135.3151948|0.080746322|231
Central MSA US Counties of 250k-1M (n=231) (slope=8.07%)|MD GPs Per 100k|2020|27.920038906|-135.3151948|0.080746322|231
Santa Barbara County (n=1) (slope=-40.61%)|MD GPs Per 100k|2010|28.072989773|843.54213746|-0.406096944|1
Santa Barbara County (n=1) (slope=-40.61%)|MD GPs Per 100k|2011|26.705522421|843.54213746|-0.406096944|1
Santa Barbara County (n=1) (slope=-40.61%)|MD GPs Per 100k|2012|26.202959311|843.54213746|-0.406096944|1
Santa Barbara County (n=1) (slope=-40.61%)|MD GPs Per 100k|2013|26.164972446|843.54213746|-0.406096944|1
Santa Barbara County (n=1) (slope=-40.61%)|MD GPs Per 100k|2014|26.323672243|843.54213746|-0.406096944|1
Santa Barbara County (n=1) (slope=-40.61%)|MD GPs Per 100k|2015|24.956775315|843.54213746|-0.406096944|1
Santa Barbara County (n=1) (slope=-40.61%)|MD GPs Per 100k|2016|23.981890311|843.54213746|-0.406096944|1
Santa Barbara County (n=1) (slope=-40.61%)|MD GPs Per 100k|2017|23.429655249|843.54213746|-0.406096944|1
Santa Barbara County (n=1) (slope=-40.61%)|MD GPs Per 100k|2018|23.514815453|843.54213746|-0.406096944|1
Santa Barbara County (n=1) (slope=-40.61%)|MD GPs Per 100k|2019|23.964219405|843.54213746|-0.406096944|1
Santa Barbara County (n=1) (slope=-40.61%)|MD GPs Per 100k|2020|24.507268991|843.54213746|-0.406096944|1
Santa Barbara County (n=1) (slope=-6.96%)|MD Specialists Per 100k|2010|75.254485191|217.50028746|-0.069639279|1
Santa Barbara County (n=1) (slope=-6.96%)|MD Specialists Per 100k|2011|77.071200671|217.50028746|-0.069639279|1
Santa Barbara County (n=1) (slope=-6.96%)|MD Specialists Per 100k|2012|76.521916573|217.50028746|-0.069639279|1
Santa Barbara County (n=1) (slope=-6.96%)|MD Specialists Per 100k|2013|79.183469246|217.50028746|-0.069639279|1
Santa Barbara County (n=1) (slope=-6.96%)|MD Specialists Per 100k|2014|79.424873147|217.50028746|-0.069639279|1
Santa Barbara County (n=1) (slope=-6.96%)|MD Specialists Per 100k|2015|76.893848267|217.50028746|-0.069639279|1
Santa Barbara County (n=1) (slope=-6.96%)|MD Specialists Per 100k|2016|78.22130578|217.50028746|-0.069639279|1
Santa Barbara County (n=1) (slope=-6.96%)|MD Specialists Per 100k|2017|79.2145487|217.50028746|-0.069639279|1
Santa Barbara County (n=1) (slope=-6.96%)|MD Specialists Per 100k|2018|76.143211945|217.50028746|-0.069639279|1
Santa Barbara County (n=1) (slope=-6.96%)|MD Specialists Per 100k|2019|75.924022226|217.50028746|-0.069639279|1
Santa Barbara County (n=1) (slope=-6.96%)|MD Specialists Per 100k|2020|75.095668284|217.50028746|-0.069639279|1
Santa Barbara County (n=1) (slope=-74.43%)|MDs/DOs Per 100k|2010|213.02445181|1711.9006876|-0.744277814|1
Santa Barbara County (n=1) (slope=-74.43%)|MDs/DOs Per 100k|2011|212.00436659|1711.9006876|-0.744277814|1
Santa Barbara County (n=1) (slope=-74.43%)|MDs/DOs Per 100k|2012|215.18890479|1711.9006876|-0.744277814|1
Santa Barbara County (n=1) (slope=-74.43%)|MDs/DOs Per 100k|2013|217.12336785|1711.9006876|-0.744277814|1
Santa Barbara County (n=1) (slope=-74.43%)|MDs/DOs Per 100k|2014|218.75879347|1711.9006876|-0.744277814|1
Santa Barbara County (n=1) (slope=-74.43%)|MDs/DOs Per 100k|2015|212.4698439|1711.9006876|-0.744277814|1
Santa Barbara County (n=1) (slope=-74.43%)|MDs/DOs Per 100k|2016|211.13028666|1711.9006876|-0.744277814|1
Santa Barbara County (n=1) (slope=-74.43%)|MDs/DOs Per 100k|2017|210.4206181|1711.9006876|-0.744277814|1
Santa Barbara County (n=1) (slope=-74.43%)|MDs/DOs Per 100k|2018|206.93037599|1711.9006876|-0.744277814|1
Santa Barbara County (n=1) (slope=-74.43%)|MDs/DOs Per 100k|2019|207.61524662|1711.9006876|-0.744277814|1
Santa Barbara County (n=1) (slope=-74.43%)|MDs/DOs Per 100k|2020|209.32355441|1711.9006876|-0.744277814|1
Top 100 Most Similar US Counties (n=101) (slope=13.01%)|MD GPs Per 100k|2010|29.916939084|-231.634836|0.1301218016|101
Top 100 Most Similar US Counties (n=101) (slope=13.01%)|MD GPs Per 100k|2011|29.905401643|-231.634836|0.1301218016|101
Top 100 Most Similar US Counties (n=101) (slope=13.01%)|MD GPs Per 100k|2012|30.084864556|-231.634836|0.1301218016|101
Top 100 Most Similar US Counties (n=101) (slope=13.01%)|MD GPs Per 100k|2013|30.546978013|-231.634836|0.1301218016|101
Top 100 Most Similar US Counties (n=101) (slope=13.01%)|MD GPs Per 100k|2014|30.500427231|-231.634836|0.1301218016|101
Top 100 Most Similar US Counties (n=101) (slope=13.01%)|MD GPs Per 100k|2015|30.615169108|-231.634836|0.1301218016|101
Top 100 Most Similar US Counties (n=101) (slope=13.01%)|MD GPs Per 100k|2016|30.740999329|-231.634836|0.1301218016|101
Top 100 Most Similar US Counties (n=101) (slope=13.01%)|MD GPs Per 100k|2017|30.69562275|-231.634836|0.1301218016|101
Top 100 Most Similar US Counties (n=101) (slope=13.01%)|MD GPs Per 100k|2018|30.74273256|-231.634836|0.1301218016|101
Top 100 Most Similar US Counties (n=101) (slope=13.01%)|MD GPs Per 100k|2019|31.078773629|-231.634836|0.1301218016|101
Top 100 Most Similar US Counties (n=101) (slope=13.01%)|MD GPs Per 100k|2020|31.338628013|-231.634836|0.1301218016|101
Top 100 Most Similar US Counties (n=101) (slope=25.01%)|MD Specialists Per 100k|2010|70.224516245|-431.1802204|0.2501116886|101
Top 100 Most Similar US Counties (n=101) (slope=25.01%)|MD Specialists Per 100k|2011|71.692337814|-431.1802204|0.2501116886|101
Top 100 Most Similar US Counties (n=101) (slope=25.01%)|MD Specialists Per 100k|2012|72.480323763|-431.1802204|0.2501116886|101
Top 100 Most Similar US Counties (n=101) (slope=25.01%)|MD Specialists Per 100k|2013|74.067596067|-431.1802204|0.2501116886|101
Top 100 Most Similar US Counties (n=101) (slope=25.01%)|MD Specialists Per 100k|2014|73.102725026|-431.1802204|0.2501116886|101
Top 100 Most Similar US Counties (n=101) (slope=25.01%)|MD Specialists Per 100k|2015|72.329411401|-431.1802204|0.2501116886|101
Top 100 Most Similar US Counties (n=101) (slope=25.01%)|MD Specialists Per 100k|2016|73.051477804|-431.1802204|0.2501116886|101
Top 100 Most Similar US Counties (n=101) (slope=25.01%)|MD Specialists Per 100k|2017|72.946053642|-431.1802204|0.2501116886|101
Top 100 Most Similar US Counties (n=101) (slope=25.01%)|MD Specialists Per 100k|2018|72.586831922|-431.1802204|0.2501116886|101
Top 100 Most Similar US Counties (n=101) (slope=25.01%)|MD Specialists Per 100k|2019|73.930370107|-431.1802204|0.2501116886|101
Top 100 Most Similar US Counties (n=101) (slope=25.01%)|MD Specialists Per 100k|2020|74.331509078|-431.1802204|0.2501116886|101
Top 100 Most Similar US Counties (n=101) (slope=40.24%)|MDs/DOs Per 100k|2010|217.98887113|-588.3774732|0.4024468498|101
Top 100 Most Similar US Counties (n=101) (slope=40.24%)|MDs/DOs Per 100k|2011|220.10914022|-588.3774732|0.4024468498|101
Top 100 Most Similar US Counties (n=101) (slope=40.24%)|MDs/DOs Per 100k|2012|221.93604684|-588.3774732|0.4024468498|101
Top 100 Most Similar US Counties (n=101) (slope=40.24%)|MDs/DOs Per 100k|2013|226.58948675|-588.3774732|0.4024468498|101
Top 100 Most Similar US Counties (n=101) (slope=40.24%)|MDs/DOs Per 100k|2014|223.67570525|-588.3774732|0.4024468498|101
Top 100 Most Similar US Counties (n=101) (slope=40.24%)|MDs/DOs Per 100k|2015|220.79134209|-588.3774732|0.4024468498|101
Top 100 Most Similar US Counties (n=101) (slope=40.24%)|MDs/DOs Per 100k|2016|222.80894187|-588.3774732|0.4024468498|101
Top 100 Most Similar US Counties (n=101) (slope=40.24%)|MDs/DOs Per 100k|2017|222.87099735|-588.3774732|0.4024468498|101
Top 100 Most Similar US Counties (n=101) (slope=40.24%)|MDs/DOs Per 100k|2018|221.59821452|-588.3774732|0.4024468498|101
Top 100 Most Similar US Counties (n=101) (slope=40.24%)|MDs/DOs Per 100k|2019|224.60006175|-588.3774732|0.4024468498|101
Top 100 Most Similar US Counties (n=101) (slope=40.24%)|MDs/DOs Per 100k|2020|225.11341244|-588.3774732|0.4024468498|101
Top 25 Most Similar US Counties (n=26) (slope=23.58%)|MD GPs Per 100k|2010|30.570420982|-443.050739|0.2357570829|26
Top 25 Most Similar US Counties (n=26) (slope=23.58%)|MD GPs Per 100k|2011|30.860031127|-443.050739|0.2357570829|26
Top 25 Most Similar US Counties (n=26) (slope=23.58%)|MD GPs Per 100k|2012|31.370369995|-443.050739|0.2357570829|26
Top 25 Most Similar US Counties (n=26) (slope=23.58%)|MD GPs Per 100k|2013|32.275006862|-443.050739|0.2357570829|26
Top 25 Most Similar US Counties (n=26) (slope=23.58%)|MD GPs Per 100k|2014|31.849134279|-443.050739|0.2357570829|26
Top 25 Most Similar US Counties (n=26) (slope=23.58%)|MD GPs Per 100k|2015|32.069528444|-443.050739|0.2357570829|26
Top 25 Most Similar US Counties (n=26) (slope=23.58%)|MD GPs Per 100k|2016|31.994787251|-443.050739|0.2357570829|26
Top 25 Most Similar US Counties (n=26) (slope=23.58%)|MD GPs Per 100k|2017|32.176605108|-443.050739|0.2357570829|26
Top 25 Most Similar US Counties (n=26) (slope=23.58%)|MD GPs Per 100k|2018|32.51698534|-443.050739|0.2357570829|26
Top 25 Most Similar US Counties (n=26) (slope=23.58%)|MD GPs Per 100k|2019|32.736907332|-443.050739|0.2357570829|26
Top 25 Most Similar US Counties (n=26) (slope=23.58%)|MD GPs Per 100k|2020|33.577836741|-443.050739|0.2357570829|26
Top 25 Most Similar US Counties (n=26) (slope=31.16%)|MD Specialists Per 100k|2010|81.651245575|-542.6922789|0.3115549667|26
Top 25 Most Similar US Counties (n=26) (slope=31.16%)|MD Specialists Per 100k|2011|83.448383558|-542.6922789|0.3115549667|26
Top 25 Most Similar US Counties (n=26) (slope=31.16%)|MD Specialists Per 100k|2012|85.03397228|-542.6922789|0.3115549667|26
Top 25 Most Similar US Counties (n=26) (slope=31.16%)|MD Specialists Per 100k|2013|87.195594957|-542.6922789|0.3115549667|26
Top 25 Most Similar US Counties (n=26) (slope=31.16%)|MD Specialists Per 100k|2014|85.528269198|-542.6922789|0.3115549667|26
Top 25 Most Similar US Counties (n=26) (slope=31.16%)|MD Specialists Per 100k|2015|84.187408731|-542.6922789|0.3115549667|26
Top 25 Most Similar US Counties (n=26) (slope=31.16%)|MD Specialists Per 100k|2016|85.265718386|-542.6922789|0.3115549667|26
Top 25 Most Similar US Counties (n=26) (slope=31.16%)|MD Specialists Per 100k|2017|85.281797166|-542.6922789|0.3115549667|26
Top 25 Most Similar US Counties (n=26) (slope=31.16%)|MD Specialists Per 100k|2018|84.958913178|-542.6922789|0.3115549667|26
Top 25 Most Similar US Counties (n=26) (slope=31.16%)|MD Specialists Per 100k|2019|86.611200497|-542.6922789|0.3115549667|26
Top 25 Most Similar US Counties (n=26) (slope=31.16%)|MD Specialists Per 100k|2020|86.838266031|-542.6922789|0.3115549667|26
Top 25 Most Similar US Counties (n=26) (slope=81.85%)|MDs/DOs Per 100k|2010|240.06400365|-1402.358894|0.8184553768|26
Top 25 Most Similar US Counties (n=26) (slope=81.85%)|MDs/DOs Per 100k|2011|242.05290652|-1402.358894|0.8184553768|26
Top 25 Most Similar US Counties (n=26) (slope=81.85%)|MDs/DOs Per 100k|2012|246.29484945|-1402.358894|0.8184553768|26
Top 25 Most Similar US Counties (n=26) (slope=81.85%)|MDs/DOs Per 100k|2013|251.14674944|-1402.358894|0.8184553768|26
Top 25 Most Similar US Counties (n=26) (slope=81.85%)|MDs/DOs Per 100k|2014|247.09785219|-1402.358894|0.8184553768|26
Top 25 Most Similar US Counties (n=26) (slope=81.85%)|MDs/DOs Per 100k|2015|244.09411789|-1402.358894|0.8184553768|26
Top 25 Most Similar US Counties (n=26) (slope=81.85%)|MDs/DOs Per 100k|2016|246.60987007|-1402.358894|0.8184553768|26
Top 25 Most Similar US Counties (n=26) (slope=81.85%)|MDs/DOs Per 100k|2017|247.77696005|-1402.358894|0.8184553768|26
Top 25 Most Similar US Counties (n=26) (slope=81.85%)|MDs/DOs Per 100k|2018|247.3406179|-1402.358894|0.8184553768|26
Top 25 Most Similar US Counties (n=26) (slope=81.85%)|MDs/DOs Per 100k|2019|250.53634921|-1402.358894|0.8184553768|26
Top 25 Most Similar US Counties (n=26) (slope=81.85%)|MDs/DOs Per 100k|2020|252.1013189|-1402.358894|0.8184553768|26
Top 50 Most Similar US Counties (n=51) (slope=15.02%)|MD GPs Per 100k|2010|30.560026102|-271.2179538|0.1502190768|51
Top 50 Most Similar US Counties (n=51) (slope=15.02%)|MD GPs Per 100k|2011|30.716846808|-271.2179538|0.1502190768|51
Top 50 Most Similar US Counties (n=51) (slope=15.02%)|MD GPs Per 100k|2012|31.034455746|-271.2179538|0.1502190768|51
Top 50 Most Similar US Counties (n=51) (slope=15.02%)|MD GPs Per 100k|2013|31.790074152|-271.2179538|0.1502190768|51
Top 50 Most Similar US Counties (n=51) (slope=15.02%)|MD GPs Per 100k|2014|31.52219497|-271.2179538|0.1502190768|51
Top 50 Most Similar US Counties (n=51) (slope=15.02%)|MD GPs Per 100k|2015|31.428420558|-271.2179538|0.1502190768|51
Top 50 Most Similar US Counties (n=51) (slope=15.02%)|MD GPs Per 100k|2016|31.452229039|-271.2179538|0.1502190768|51
Top 50 Most Similar US Counties (n=51) (slope=15.02%)|MD GPs Per 100k|2017|31.458446673|-271.2179538|0.1502190768|51
Top 50 Most Similar US Counties (n=51) (slope=15.02%)|MD GPs Per 100k|2018|31.582422212|-271.2179538|0.1502190768|51
Top 50 Most Similar US Counties (n=51) (slope=15.02%)|MD GPs Per 100k|2019|32.035208569|-271.2179538|0.1502190768|51
Top 50 Most Similar US Counties (n=51) (slope=15.02%)|MD GPs Per 100k|2020|32.628020682|-271.2179538|0.1502190768|51
Top 50 Most Similar US Counties (n=51) (slope=39.45%)|MD Specialists Per 100k|2010|81.037014974|-709.528063|0.3944522631|51
Top 50 Most Similar US Counties (n=51) (slope=39.45%)|MD Specialists Per 100k|2011|83.530899336|-709.528063|0.3944522631|51
Top 50 Most Similar US Counties (n=51) (slope=39.45%)|MD Specialists Per 100k|2012|84.884838798|-709.528063|0.3944522631|51
Top 50 Most Similar US Counties (n=51) (slope=39.45%)|MD Specialists Per 100k|2013|87.132184592|-709.528063|0.3944522631|51
Top 50 Most Similar US Counties (n=51) (slope=39.45%)|MD Specialists Per 100k|2014|85.755453503|-709.528063|0.3944522631|51
Top 50 Most Similar US Counties (n=51) (slope=39.45%)|MD Specialists Per 100k|2015|84.760979287|-709.528063|0.3944522631|51
Top 50 Most Similar US Counties (n=51) (slope=39.45%)|MD Specialists Per 100k|2016|85.899069786|-709.528063|0.3944522631|51
Top 50 Most Similar US Counties (n=51) (slope=39.45%)|MD Specialists Per 100k|2017|85.654300519|-709.528063|0.3944522631|51
Top 50 Most Similar US Counties (n=51) (slope=39.45%)|MD Specialists Per 100k|2018|85.403128738|-709.528063|0.3944522631|51
Top 50 Most Similar US Counties (n=51) (slope=39.45%)|MD Specialists Per 100k|2019|86.883537673|-709.528063|0.3944522631|51
Top 50 Most Similar US Counties (n=51) (slope=39.45%)|MD Specialists Per 100k|2020|87.2843105|-709.528063|0.3944522631|51
Top 50 Most Similar US Counties (n=51) (slope=92.49%)|MDs/DOs Per 100k|2010|246.28010301|-1609.04947|0.9249194447|51
