exclude_reason|fips_st_cnty|st_cnty_nm|st_abbr|cbsa_ind_cd_msa|cbsa_status_central|rur_urb_cntm_cd_02|urb_infl_cd_2|mds_y20|dos_y20|mds_dos_y20|mds_dos_per_1k|mds_gp_y20|mds_gp_per_1k|mds_spec_y20|mds_spec_per_1k|popn|cvln_lbr_frc_ovr15|pct_cvln_lbr_frc_ovr15|pop_ovr64|pct_ovr64|pop_female|pct_female|pop_wht_non_hisp|pct_wht_non_hisp|prsnl_income|pop_in_pvrty|pct_in_pvrty|hsptl_beds|hsptl_beds_per_1k
County has mising attributes|51660|Harrisonburg City, VA|VA|1|1|0|1|170|12|182|3.4207954289|34|0.6390496955|54|1.0149612811|53204|24259|0.4559619577|5379|0.1011014209|27624|0.519209082|34218|0.6431471318||10113|0.1900796933|238|4.4733478686
County has mising attributes|51670|Hopewell City, VA|VA|1|1|0|0|17|0|17|0.7597765363|1|0.0446927374|11|0.4916201117|22375|9811|0.4384804469|3566|0.1593743017|11979|0.5353743017|9637|0.4307039106||3823|0.1708603352|112|5.0055865922
County has mising attributes|51680|Lynchburg City, VA|VA|1|1|1|1|298|22|320|3.9234438028|50|0.6130380942|99|1.2138154265|81561|36015|0.4415713392|11869|0.1455229828|43254|0.5303269945|50602|0.6204190728||10926|0.1339610843|1063|13.033189882
County has mising attributes|51683|Manassas City, VA|VA|1|1|0|0|89|5|94|2.300031809|17|0.4159631995|29|0.7095842815|40869|21684|0.5305732952|4425|0.108272774|20293|0.4965377181|15830|0.387335144||3196|0.0782010815|87|2.1287528445
County has mising attributes|51690|Martinsville City, VA|VA|0|1|0|0|3|0|3|0.2428166734|0|0|0|0|12355|5670|0.4589235127|2217|0.1794415217|6584|0.5329016592|5361|0.4339133954||2556|0.2068798057|0|0
County has mising attributes|51720|Norton City, VA|VA|0|1|0|0|14|4|18|4.5169385194|0|0|6|1.5056461731|3985|1660|0.4165621079|754|0.1892095358|2094|0.5254705144|3381|0.8484316186||805|0.2020075282|136|34.127979925
County has mising attributes|51730|Petersburg City, VA|VA|1|1|0|0|38|1|39|1.2809564475|6|0.1970702227|18|0.5912106681|30446|13459|0.4420613545|5310|0.1744071471|16537|0.5431583788|4500|0.147802667||6227|0.2045260461|921|30.250279183
County has mising attributes|51735|Poquoson City, VA|VA|1|1|0|0|26|1|27|2.2028228767|5|0.4079301624|6|0.4895161948|12257|6249|0.5098311169|2412|0.1967855103|6108|0.4983274863|11051|0.9016072448||571|0.0465856245|0|0
County has mising attributes|51750|Radford City, VA|VA|1|1|0|1|23|3|26|1.424267324|2|0.1095590249|11|0.6025746371|18255|8457|0.4632703369|1785|0.0977814297|9671|0.529772665|15142|0.8294713777||3633|0.1990139688|0|0
County has mising attributes|51775|Salem City, VA|VA|1|1|1|1|91|15|106|4.183109708|8|0.3157063931|32|1.2628255722|25340|12671|0.5000394633|4998|0.1972375691|13275|0.523875296|21309|0.8409234412||2087|0.0823599053|191|7.5374901342
County has mising attributes|51790|Staunton City, VA|VA|1|1|0|1|36|2|38|1.508535133|6|0.2381897578|7|0.2778880508|25190|12247|0.486184994|5382|0.2136562128|13526|0.5369591108|20099|0.7978959905||2987|0.1185788011|306|12.14767765
County has mising attributes|51820|Waynesboro City, VA|VA|1|1|0|1|39|1|40|1.7589376017|7|0.3078140803|18|0.7915219208|22741|10700|0.4705158085|4127|0.1814783871|11887|0.5227122818|16597|0.7298271844||2556|0.1123961127|0|0
County has mising attributes|51830|Williamsburg City, VA|VA|1|0|0|0|3|0|3|0.1966052821|0|0|2|0.1310701881|15259|6705|0.4394128056|2732|0.1790418769|8256|0.5410577364|10423|0.6830722852||1847|0.1210433187|0|0
County has mising attributes|51840|Winchester City, VA|VA|1|1|0|1|194|8|202|7.2924187726|21|0.7581227437|75|2.7075812274|27700|14912|0.5383393502|4683|0.1690613718|14073|0.5080505415|18170|0.6559566787||3501|0.1263898917|541|19.530685921
County has no MDs/DOs|02001|Alaska|AK|0|0|0|0||||||||||||||||||||||
County has no MDs/DOs|02013|Aleutians East (B), AK|AK|0|0|0|0|0|0|0|0|0|0|0|0|3401|2523|0.7418406351|374|0.1099676566|1109|0.3260805645|324|0.0952660982|59574|514|0.15113202|0|0
County has no MDs/DOs|02060|Bristol Bay (B), AK|AK|0|0|0|0|0|0|0|0|0|0|0|0|788|417|0.5291878173|152|0.192893401|385|0.4885786802|314|0.3984771574|152678|82|0.1040609137|0|0
County has no MDs/DOs|02063|Chugach (CA), AK|AK|0|0|0|0|||||||||6427|||917|0.1426793216|3027|0.4709817956|4378|0.681188735|69369|441|0.068616773||
County has no MDs/DOs|02066|Copper River (CA), AK|AK|0|0|0|0|||||||||2919|||553|0.1894484412|1366|0.4679684824|1969|0.6745460774|49783|368|0.1260705721||
County has no MDs/DOs|02068|Denali (B), AK|AK|0|0|0|0|0|0|0|0|0|0|0|0|2081|680|0.3267659779|264|0.1268620855|945|0.4541086016|1624|0.7803940413|72967|127|0.0610283518|0|0
County has no MDs/DOs|02105|Hoonah-Angoon (CA), AK|AK|0|0|0|0|0|0|0|0|0|0|0|0|2141|1050|0.490425035|537|0.2508173751|982|0.4586641756|992|0.4633348902|64708|271|0.1265763662|0|0
County has no MDs/DOs|02158|Kusilvak (CA), AK|AK|0|0|0|0|0|0|0|0|0|0|0|0|8328|2299|0.2760566763|546|0.0655619597|3898|0.4680595581|240|0.0288184438|33968|2305|0.2767771374|0|0
County has no MDs/DOs|02164|Lake and Peninsula (B), AK|AK|0|0|0|0|0|0|0|0|0|0|0|0|1493|689|0.461486939|169|0.1131949096|726|0.4862692565|330|0.2210314802|63397|261|0.1748158071|0|0
County has no MDs/DOs|02201|Pr of Wales-OuterKetch(CA), AK|AK|0|0|0|0||||||||||||||||||||||
County has no MDs/DOs|02230|Skagway Municipality (B), AK|AK|0|0|0|0|0|0|0|0|0|0|0|0|1179|606|0.5139949109|183|0.155216285|564|0.4783715013|941|0.7981340119|66548|45|0.0381679389|0|0
County has no MDs/DOs|02232|Skagway-Hoonah-Angoon (CA), AK|AK|0|0|0|0||||||||||||||||||||||
County has no MDs/DOs|02280|Wrangell-Petersburg (CA), AK|AK|0|0|0|0||||||||||||||||||||||
County has no MDs/DOs|02282|Yakutat (B), AK|AK|0|0|0|0|0|0|0|0|0|0|0|0|637|260|0.4081632653|127|0.1993720565|291|0.4568288854|201|0.3155416013|66119|79|0.1240188383|0|0
County has no MDs/DOs|05025|Cleveland, AR|AR|1|0|0|1|0|0|0|0|0|0|0|0|7957|3203|0.4025386452|1718|0.215910519|4054|0.5094885007|6681|0.8396380545|40366|1086|0.1364835993|0|0
County has no MDs/DOs|08023|Costilla, CO|CO|0|0|0|0|0|0|0|0|0|0|0|0|3921|1823|0.4649324152|1054|0.2688089773|1908|0.4866105585|1331|0.3394542209|38430|854|0.2178015812|0|0
County has no MDs/DOs|08025|Crowley, CO|CO|0|0|0|0|0|0|0|0|0|0|0|0|5696|1528|0.268258427|806|0.141502809|1540|0.2703651685|3046|0.534761236|23751|1118|0.1962780899|0|0
County has no MDs/DOs|08061|Kiowa, CO|CO|0|0|0|0|0|0|0|0|0|0|0|0|1458|956|0.6556927298|347|0.2379972565|740|0.5075445816|1274|0.8737997257|66839|173|0.1186556927|25|17.146776406
County has no MDs/DOs|08079|Mineral, CO|CO|0|0|0|0|0|0|0|0|0|0|0|0|773|469|0.6067270375|244|0.3156532988|386|0.4993531695|697|0.9016817594|73101|67|0.0866752911|0|0
County has no MDs/DOs|13003|Atkinson, GA|GA|0|0|0|0|0|0|0|0|0|0|0|0|8393|4434|0.5282973907|1175|0.1399976171|4128|0.4918384368|4615|0.5498629811|31938|1801|0.2145835816|0|0
County has no MDs/DOs|13007|Baker, GA|GA|0|0|0|1|0|0|0|0|0|0|0|0|2971|1145|0.3853921239|765|0.2574890609|1497|0.5038707506|1441|0.4850218782|43156|701|0.2359474924|0|0
County has no MDs/DOs|13101|Echols, GA|GA|1|0|0|1|0|0|0|0|0|0|0|0|4002|1899|0.4745127436|548|0.1369315342|1975|0.4935032484|2444|0.6106946527|31945|821|0.2051474263|0|0
County has no MDs/DOs|13239|Quitman, GA|GA|0|0|0|0|0|0|0|0|0|0|0|0|2271|800|0.3522677235|729|0.321003963|1190|0.5239982387|1107|0.4874504624|34810|523|0.2302950242|0|0
County has no MDs/DOs|13259|Stewart, GA|GA|1|0|0|0|0|0|0|0|0|0|0|0|6689|2509|0.375093437|996|0.148901181|2072|0.3097622963|1450|0.2167738077|25041|1561|0.2333682165|0|0
County has no MDs/DOs|13265|Taliaferro, GA|GA|0|0|0|0|0|0|0|0|0|0|0|0|1562|530|0.3393085787|452|0.2893725992|783|0.5012804097|595|0.380921895|36860|362|0.2317541613|0|0
County has no MDs/DOs|13269|Taylor, GA|GA|0|0|0|0|0|0|0|0|0|0|0|0|8074|2746|0.3401040377|1766|0.2187267773|4250|0.526380976|4675|0.5790190736|33630|1831|0.2267773099|0|0
County has no MDs/DOs|13283|Treutlen, GA|GA|0|0|0|0|0|0|0|0|0|0|0|0|6822|2710|0.3972442099|1260|0.1846965699|3404|0.4989739079|4350|0.63764292|31899|1501|0.2200234535|0|0
County has no MDs/DOs|15005|Kalawao, HI|HI|0|0|0|1|0|0|0|0|0|0|0|0|87|||44|0.5057471264|46|0.5287356322|23|0.2643678161||||0|0
County has no MDs/DOs|16025|Camas, ID|ID|0|0|0|0|0|0|0|0|0|0|0|0|1130|684|0.6053097345|264|0.2336283186|555|0.4911504425|1005|0.889380531|53373|94|0.0831858407|0|0
County has no MDs/DOs|16033|Clark, ID|ID|0|0|0|0|0|0|0|0|0|0|0|0|852|378|0.4436619718|167|0.1960093897|408|0.4788732394|462|0.5422535211|47615|99|0.1161971831|0|0
County has no MDs/DOs|16037|Custer, ID|ID|0|0|0|0|0|0|0|0|0|0|0|0|4249|2218|0.5220051777|1346|0.3167804189|2025|0.4765827253|3883|0.9138620852|48718|538|0.1266180278|0|0
County has no MDs/DOs|17071|Henderson, IL|IL|0|0|0|0|0|0|0|0|0|0|0|0|6535|3544|0.542310635|1758|0.2690130069|3307|0.5060443764|6249|0.9562356542|48805|687|0.1051262433|0|0
County has no MDs/DOs|17153|Pulaski, IL|IL|0|0|0|0|0|0|0|0|0|0|0|0|5201|1768|0.339934628|1220|0.2345702749|2663|0.5120169198|3324|0.6391078639|43533|1056|0.2030378773|0|0
County has no MDs/DOs|17155|Putnam, IL|IL|0|0|0|0|0|0|0|0|0|0|0|0|5716|2942|0.5146955913|1371|0.2398530441|2821|0.4935269419|5221|0.9134009797|66839|413|0.072253324|0|0
County has no MDs/DOs|17169|Schuyler, IL|IL|0|0|0|0|0|0|0|0|0|0|0|0|6738|3126|0.463935886|1595|0.2367171267|3215|0.4771445533|6199|0.9200059365|49505|778|0.1154645295|22|3.2650638172
County has no MDs/DOs|17171|Scott, IL|IL|0|0|0|0|0|0|0|0|0|0|0|0|4950|2349|0.4745454545|1015|0.2050505051|2510|0.5070707071|4722|0.9539393939|47152|525|0.1060606061|0|0
County has no MDs/DOs|18025|Crawford, IN|IN|0|0|0|0|0|0|0|0|0|0|0|0|10629|4849|0.4562047229|2200|0.2069809013|5226|0.4916737228|10158|0.9556872707|38276|1646|0.1548593471|0|0
County has no MDs/DOs|18155|Switzerland, IN|IN|0|0|0|0|0|0|0|0|0|0|0|0|10724|4782|0.4459157031|1992|0.1857515852|5163|0.4814434912|10243|0.9551473331|35647|1485|0.1384744498|0|0
County has no MDs/DOs|20017|Chase, KS|KS|0|0|0|0|0|0|0|0|0|0|0|0|2586|1465|0.5665119876|649|0.250966744|1263|0.4883990719|2329|0.9006187162|56852|246|0.0951276102|0|0
County has no MDs/DOs|20019|Chautauqua, KS|KS|0|0|0|0|0|0|0|0|0|0|0|0|3230|1482|0.4588235294|837|0.2591331269|1582|0.4897832817|2714|0.840247678|44908|574|0.1777089783|20|6.1919504644
County has no MDs/DOs|20065|Graham, KS|KS|0|0|0|0|0|0|0|0|0|0|0|0|2389|1126|0.471326915|646|0.2704060276|1221|0.5110925073|2087|0.873587275|56190|294|0.1230640435|15|6.2787777313
County has no MDs/DOs|20081|Haskell, KS|KS|0|0|0|0|0|0|0|0|0|0|0|0|3923|2250|0.5735406577|614|0.1565128728|1956|0.4985980117|2560|0.6525618149|56311|396|0.1009431557|57|14.529696661
County has no MDs/DOs|20089|Jewell, KS|KS|0|0|0|0|0|0|0|0|0|0|0|0|2833|1249|0.4408753971|886|0.3127426756|1378|0.4864101659|2689|0.9491704906|55860|364|0.1284857042|25|8.8245675962
County has no MDs/DOs|20101|Lane, KS|KS|0|0|0|0|0|0|0|0|0|0|0|0|1518|755|0.4973649539|362|0.2384716733|764|0.5032938076|1296|0.8537549407|72211|144|0.0948616601|25|16.469038208
County has no MDs/DOs|20107|Linn, KS|KS|1|0|0|0|0|0|0|0|0|0|0|0|9654|4379|0.453594365|2220|0.2299564947|4724|0.4893308473|8955|0.9275947794|44155|1197|0.1239900559|0|0
County has no MDs/DOs|20119|Meade, KS|KS|0|0|0|0|0|0|0|0|0|0|0|0|4029|2150|0.533631174|774|0.1921072226|1969|0.4887068752|3077|0.7637130802|65633|363|0.0900967982|65|16.133035493
County has no MDs/DOs|20199|Wallace, KS|KS|0|0|0|0|0|0|0|0|0|0|0|0|1536|825|0.537109375|353|0.2298177083|757|0.4928385417|1371|0.892578125|59159|190|0.1236979167|0|0
County has no MDs/DOs|20203|Wichita, KS|KS|0|0|0|0|0|0|0|0|0|0|0|0|2074|1258|0.606557377|442|0.2131147541|990|0.4773384764|1390|0.6702025072|61032|216|0.1041465767|42|20.25072324
County has no MDs/DOs|20207|Woodson, KS|KS|0|0|0|0|0|0|0|0|0|0|0|0|3015|1567|0.51973466|771|0.255721393|1482|0.4915422886|2774|0.920066335|43381|415|0.1376451078|0|0
County has no MDs/DOs|21007|Ballard, KY|KY|0|0|0|0|0|0|0|0|0|0|0|0|7769|3356|0.4319732269|1678|0.2159866135|3898|0.5017376754|7146|0.9198094993|45124|1080|0.1390140301|0|0
County has no MDs/DOs|21063|Elliott, KY|KY|0|0|0|0|0|0|0|0|0|0|0|0|7372|1967|0.2668204015|1557|0.2112045578|3194|0.4332609875|6914|0.9378730331|27001|1815|0.2462018448|0|0
County has no MDs/DOs|21091|Hancock, KY|KY|1|0|0|1|0|0|0|0|0|0|0|0|8742|3808|0.4355982613|1590|0.1818805765|4249|0.4860443834|8303|0.9497826584|40261|1248|0.142759094|0|0
County has no MDs/DOs|21149|McLean, KY|KY|1|0|0|1|0|0|0|0|0|0|0|0|9075|4023|0.4433057851|1848|0.2036363636|4593|0.5061157025|8660|0.9542699725|43162|1214|0.1337741047|0|0
County has no MDs/DOs|26083|Keweenaw, MI|MI|0|0|0|0|0|0|0|0|0|0|0|0|2119|884|0.4171779141|788|0.3718735252|1046|0.4936290703|2039|0.9622463426|51972|237|0.11184521|0|0
County has no MDs/DOs|27069|Kittson, MN|MN|0|0|0|0|0|0|0|0|0|0|0|0|4214|2411|0.5721404841|1078|0.2558139535|2110|0.5007119127|3990|0.9468438538|63181|421|0.0999050783|75|17.797816801
County has no MDs/DOs|27089|Marshall, MN|MN|0|0|0|0|0|0|0|0|0|0|0|0|9321|5451|0.5848084969|2129|0.228408969|4588|0.4922218646|8666|0.9297285699|63090|729|0.0782104924|20|2.1456925223
County has no MDs/DOs|27107|Norman, MN|MN|0|0|0|0|0|0|0|0|0|0|0|0|6338|3287|0.5186178605|1394|0.2199431997|3143|0.4958977595|5600|0.8835594825|51626|647|0.1020826759|14|2.2088987062
County has no MDs/DOs|27125|Red Lake, MN|MN|0|0|0|0|0|0|0|0|0|0|0|0|4046|2230|0.5511616411|901|0.2226890756|1964|0.4854176965|3694|0.9130004943|55620|331|0.0818091943|0|0
County has no MDs/DOs|27155|Traverse, MN|MN|0|0|0|0|0|0|0|0|0|0|0|0|3218|1753|0.5447482909|840|0.2610316967|1592|0.4947172157|2762|0.8582970789|74000|361|0.1121814792|12|3.7290242387
County has no MDs/DOs|28041|Greene, MS|MS|0|0|0|0|0|0|0|0|0|0|0|0|13477|4337|0.3218075239|2137|0.1585664465|5723|0.4246494027|9709|0.7204125547|31102|2325|0.1725161386|7|0.5194034281
County has no MDs/DOs|28055|Issaquena, MS|MS|0|0|0|0|0|0|0|0|0|0|0|0|1220|338|0.2770491803|228|0.1868852459|509|0.4172131148|431|0.3532786885|38921|407|0.3336065574|171|140.16393443
County has no MDs/DOs|28129|Smith, MS|MS|0|0|0|0|0|0|0|0|0|0|0|0|15779|6631|0.4202420939|3272|0.2073642183|8184|0.5186640472|11655|0.7386399645|36494|2515|0.1593890614|29|1.8378857976
County has no MDs/DOs|29227|Worth, MO|MO|0|0|0|0|0|0|0|0|0|0|0|0|1953|1180|0.6041986687|518|0.2652329749|996|0.509984639|1866|0.955453149|41861|262|0.1341525858|0|0
County has no MDs/DOs|30011|Carter, MT|MT|0|0|0|0|0|0|0|0|0|0|0|0|1235|649|0.5255060729|331|0.2680161943|605|0.4898785425|1181|0.9562753036|53760|179|0.1449392713|25|20.24291498
County has no MDs/DOs|30015|Chouteau, MT|MT|0|0|0|0|0|0|0|0|0|0|0|0|5699|2454|0.43060186|1251|0.2195121951|2830|0.4965783471|4366|0.7660993157|48627|851|0.1493244429|50|8.7734690297
County has no MDs/DOs|30019|Daniels, MT|MT|0|0|0|0|0|0|0|0|0|0|0|0|1638|898|0.5482295482|441|0.2692307692|794|0.4847374847|1497|0.9139194139|64205|179|0.1092796093|25|15.262515263
County has no MDs/DOs|30033|Garfield, MT|MT|0|0|0|0|0|0|0|0|0|0|0|0|1268|741|0.584384858|324|0.2555205047|633|0.4992113565|1236|0.9747634069|44812|190|0.1498422713|32|25.23659306
County has no MDs/DOs|30045|Judith Basin, MT|MT|0|0|0|0|0|0|0|0|0|0|0|0|1994|987|0.4949849549|565|0.2833500502|976|0.4894684052|1893|0.9493480441|56953|313|0.1569709127|0|0
County has no MDs/DOs|30055|McCone, MT|MT|0|0|0|0|0|0|0|0|0|0|0|0|1648|961|0.583131068|450|0.2730582524|799|0.4848300971|1547|0.9387135922|48924|236|0.1432038835|25|15.169902913
County has no MDs/DOs|30065|Musselshell, MT|MT|0|0|0|0|0|0|0|0|0|0|0|0|4669|2328|0.4986078389|1309|0.2803598201|2296|0.4917541229|4197|0.898907689|49756|712|0.152495181|25|5.3544656243
County has no MDs/DOs|30069|Petroleum, MT|MT|0|0|0|0|0|0|0|0|0|0|0|0|500|264|0.528|144|0.288|232|0.464|469|0.938|41080|75|0.15|0|0
County has no MDs/DOs|30075|Powder River, MT|MT|0|0|0|0|0|0|0|0|0|0|0|0|1681|976|0.5806067817|502|0.2986317668|847|0.503866746|1551|0.9226650803|44756|206|0.1225461035|0|0
County has no MDs/DOs|30079|Prairie, MT|MT|0|0|0|0|0|0|0|0|0|0|0|0|1067|471|0.4414245548|363|0.3402061856|512|0.4798500469|945|0.885660731|57918|133|0.1246485473|22|20.618556701
County has no MDs/DOs|30103|Treasure, MT|MT|0|0|0|0|0|0|0|0|0|0|0|0|695|338|0.4863309353|206|0.2964028777|348|0.5007194245|617|0.8877697842|66721|87|0.1251798561|0|0
County has no MDs/DOs|30107|Wheatland, MT|MT|0|0|0|0|0|0|0|0|0|0|0|0|2157|754|0.3495595735|555|0.2573018081|1052|0.4877144182|1954|0.9058878071|42348|440|0.203987019|25|11.590171535
County has no MDs/DOs|30109|Wibaux, MT|MT|0|0|0|0|0|0|0|0|0|0|0|0|939|454|0.4834930777|246|0.2619808307|461|0.4909478168|862|0.9179978701|48913|107|0.1139510117|0|0
County has no MDs/DOs|31005|Arthur, NE|NE|0|0|0|0|0|0|0|0|0|0|0|0|466|231|0.4957081545|108|0.2317596567|239|0.5128755365|443|0.9506437768|53618|57|0.1223175966|0|0
County has no MDs/DOs|31009|Blaine, NE|NE|0|0|0|0|0|0|0|0|0|0|0|0|457|255|0.5579868709|106|0.2319474836|223|0.4879649891|440|0.9628008753|70372|61|0.1334792123|0|0
County has no MDs/DOs|31037|Colfax, NE|NE|0|0|0|0|0|0|0|0|0|0|0|0|10587|5620|0.5308397091|1464|0.1382827997|4901|0.4629262303|5018|0.4739775196|49977|863|0.0815150656|25|2.3613866062
County has no MDs/DOs|31057|Dundy, NE|NE|0|0|0|0|0|0|0|0|0|0|0|0|1671|1158|0.6929982047|422|0.2525433872|832|0.4979054458|1478|0.8845002992|86360|201|0.1202872531|12|7.1813285458
County has no MDs/DOs|31063|Frontier, NE|NE|0|0|0|0|0|0|0|0|0|0|0|0|2587|1539|0.5948975647|655|0.253189022|1256|0.4855044453|2449|0.9466563587|46216|321|0.1240819482|0|0
County has no MDs/DOs|31069|Garden, NE|NE|0|0|0|0|0|0|0|0|0|0|0|0|1847|1061|0.574445046|512|0.2772062805|880|0.4764482945|1667|0.902544667|50671|253|0.1369788847|10|5.4141851651
County has no MDs/DOs|31075|Grant, NE|NE|0|0|0|0|0|0|0|0|0|0|0|0|630|409|0.6492063492|153|0.2428571429|299|0.4746031746|606|0.9619047619|54922|58|0.0920634921|0|0
County has no MDs/DOs|31077|Greeley, NE|NE|0|0|0|0|0|0|0|0|0|0|0|0|2319|1232|0.5312634756|615|0.2652005175|1159|0.4997843898|2221|0.9577404053|56500|274|0.1181543769|0|0
County has no MDs/DOs|31087|Hitchcock, NE|NE|0|0|0|0|0|0|0|0|0|0|0|0|2773|1304|0.470248828|730|0.2632527948|1381|0.4980165885|2617|0.9437432384|46667|328|0.1182834475|0|0
County has no MDs/DOs|31103|Keya Paha, NE|NE|0|0|0|0|0|0|0|0|0|0|0|0|759|597|0.7865612648|247|0.325428195|371|0.488801054|738|0.9723320158|66705|131|0.1725955204|0|0
County has no MDs/DOs|31105|Kimball, NE|NE|0|0|0|0|0|0|0|0|0|0|0|0|3495|1975|0.56509299|928|0.2655221745|1765|0.5050071531|3008|0.860658083|50075|377|0.1078683834|10|2.861230329
County has no MDs/DOs|31113|Logan, NE|NE|0|0|0|0|0|0|0|0|0|0|0|0|747|471|0.6305220884|177|0.2369477912|363|0.4859437751|683|0.9143239625|58616|69|0.0923694779|0|0
County has no MDs/DOs|31115|Loup, NE|NE|0|0|0|0|0|0|0|0|0|0|0|0|650|409|0.6292307692|177|0.2723076923|322|0.4953846154|616|0.9476923077|61740|98|0.1507692308|0|0
County has no MDs/DOs|31117|McPherson, NE|NE|0|0|0|0|0|0|0|0|0|0|0|0|474|443|0.9345991561|120|0.253164557|237|0.5|456|0.9620253165|62907|62|0.1308016878|0|0
County has no MDs/DOs|31123|Morrill, NE|NE|0|0|0|0|0|0|0|0|0|0|0|0|4625|2605|0.5632432432|1041|0.2250810811|2254|0.4873513514|3750|0.8108108108|63120|567|0.1225945946|8|1.7297297297
County has no MDs/DOs|31125|Nance, NE|NE|0|0|0|0|0|0|0|0|0|0|0|0|3532|1946|0.5509626274|763|0.2160249151|1778|0.5033975085|3336|0.9445073613|46091|391|0.1107021518|58|16.421291053
County has no MDs/DOs|31149|Rock, NE|NE|0|0|0|0|0|0|0|0|0|0|0|0|1377|873|0.6339869281|390|0.2832244009|701|0.5090777052|1333|0.9680464779|72590|180|0.1307189542|54|39.215686275
County has no MDs/DOs|31163|Sherman, NE|NE|0|0|0|0|0|0|0|0|0|0|0|0|2986|1667|0.5582719357|838|0.2806430007|1510|0.5056932351|2846|0.9531145345|50461|332|0.1111855325|0|0
County has no MDs/DOs|31171|Thomas, NE|NE|0|0|0|0|0|0|0|0|0|0|0|0|739|420|0.5683355886|215|0.2909336942|362|0.4898511502|684|0.9255751015|57805|91|0.1231393775|0|0
County has no MDs/DOs|31183|Wheeler, NE|NE|0|0|0|0|0|0|0|0|0|0|0|0|790|550|0.6962025316|222|0.2810126582|389|0.4924050633|756|0.9569620253|70710|98|0.1240506329|0|0
County has no MDs/DOs|32011|Eureka, NV|NV|0|0|0|0|0|0|0|0|0|0|0|0|2065|1040|0.5036319613|382|0.1849878935|942|0.4561743341|1632|0.79031477|46792|213|0.1031476998|0|0
County has no MDs/DOs|32029|Storey, NV|NV|1|0|1|1|0|0|0|0|0|0|0|0|4207|2050|0.4872830996|1402|0.3332541003|2052|0.4877584977|3516|0.8357499406|65971|328|0.0779652959|0|0
County has no MDs/DOs|35021|Harding, NM|NM|0|0|0|0|0|0|0|0|0|0|0|0|638|276|0.4326018809|268|0.4200626959|306|0.4796238245|345|0.5407523511|50723|96|0.1504702194|0|0
County has no MDs/DOs|37073|Gates, NC|NC|1|0|0|0|0|0|0|0|0|0|0|0|11464|5069|0.442166783|2527|0.2204291696|5846|0.5099441731|7292|0.6360781577|41571|1503|0.1311060712|0|0
