Subset|Measure|Statistic|Highlight|Value
Central MSA US Counties of 250k-1M|MD Specialists Per 100k|N|Smry|231
Central MSA US Counties of 250k-1M|MD Specialists Per 100k|Min|Extr|1.8081874729
Central MSA US Counties of 250k-1M|MD Specialists Per 100k|P01|Ptile|2.4131856464
Central MSA US Counties of 250k-1M|MD Specialists Per 100k|P05|Ptile|6.8646743856
Central MSA US Counties of 250k-1M|MD Specialists Per 100k|P10|Ptile|12.019849924
Central MSA US Counties of 250k-1M|MD Specialists Per 100k|P25|IQR|29.057097196
Central MSA US Counties of 250k-1M|MD Specialists Per 100k|P40|Ptile|43.290964963
Central MSA US Counties of 250k-1M|MD Specialists Per 100k|Median|IQR|53.639589849
Central MSA US Counties of 250k-1M|MD Specialists Per 100k|Mean|Mean|59.274140689
Central MSA US Counties of 250k-1M|MD Specialists Per 100k|P60|Ptile|62.470993352
Central MSA US Counties of 250k-1M|MD Specialists Per 100k|Santa Barbara (P71)|SB|75.095667284
Central MSA US Counties of 250k-1M|MD Specialists Per 100k|P75|IQR|79.588249401
Central MSA US Counties of 250k-1M|MD Specialists Per 100k|P90|Ptile|117.2808654
Central MSA US Counties of 250k-1M|MD Specialists Per 100k|P95|Ptile|134.16943907
Central MSA US Counties of 250k-1M|MD Specialists Per 100k|P99|Ptile|165.90940673
Central MSA US Counties of 250k-1M|MD Specialists Per 100k|Max|Extr|188.81413723
Central MSA US Counties of 250k-1M|MDs/DOs Per 100k|StdDev|Smry|103.15165186
Central MSA US Counties of 250k-1M|MDs/DOs Per 100k|N|Smry|231
Central MSA US Counties of 250k-1M|MDs/DOs Per 100k|Min|Extr|12.65731231
Central MSA US Counties of 250k-1M|MDs/DOs Per 100k|P01|Ptile|26.06304651
Central MSA US Counties of 250k-1M|MDs/DOs Per 100k|P05|Ptile|36.525479904
Central MSA US Counties of 250k-1M|MDs/DOs Per 100k|P10|Ptile|52.083333333
Central MSA US Counties of 250k-1M|MDs/DOs Per 100k|P25|IQR|99.520109689
Central MSA US Counties of 250k-1M|MDs/DOs Per 100k|P40|Ptile|144.38773164
Central MSA US Counties of 250k-1M|MDs/DOs Per 100k|Median|IQR|172.10065325
Central MSA US Counties of 250k-1M|MDs/DOs Per 100k|Mean|Mean|183.63109942
Central MSA US Counties of 250k-1M|MDs/DOs Per 100k|P60|Ptile|204.04903786
Central MSA US Counties of 250k-1M|MDs/DOs Per 100k|Santa Barbara (P62)|SB|209.32355341
Central MSA US Counties of 250k-1M|MDs/DOs Per 100k|P75|IQR|243.01924051
Central MSA US Counties of 250k-1M|MDs/DOs Per 100k|P90|Ptile|322.64609385
Central MSA US Counties of 250k-1M|MDs/DOs Per 100k|P95|Ptile|383.33516778
Central MSA US Counties of 250k-1M|MDs/DOs Per 100k|P99|Ptile|456.9880056
Central MSA US Counties of 250k-1M|MDs/DOs Per 100k|Max|Extr|479.06240643
Top 100 Most Similar US Counties|MD GPs Per 100k|StdDev|Smry|11.068793659
Top 100 Most Similar US Counties|MD GPs Per 100k|N|Smry|101
Top 100 Most Similar US Counties|MD GPs Per 100k|Min|Extr|6.034664839
Top 100 Most Similar US Counties|MD GPs Per 100k|P01|Ptile|7.3948175241
Top 100 Most Similar US Counties|MD GPs Per 100k|P05|Ptile|14.773984893
Top 100 Most Similar US Counties|MD GPs Per 100k|P10|Ptile|19.622715557
Top 100 Most Similar US Counties|MD GPs Per 100k|P25|IQR|24.040519802
Top 100 Most Similar US Counties|MD GPs Per 100k|Santa Barbara (P28)|SB|24.507269991
Top 100 Most Similar US Counties|MD GPs Per 100k|P40|Ptile|28.822544777
Top 100 Most Similar US Counties|MD GPs Per 100k|Median|IQR|30.969716475
Top 100 Most Similar US Counties|MD GPs Per 100k|Mean|Mean|31.338628013
Top 100 Most Similar US Counties|MD GPs Per 100k|P60|Ptile|32.631970701
Top 100 Most Similar US Counties|MD GPs Per 100k|P75|IQR|38.083734206
Top 100 Most Similar US Counties|MD GPs Per 100k|P90|Ptile|48.621649895
Top 100 Most Similar US Counties|MD GPs Per 100k|P95|Ptile|53.348152265
Top 100 Most Similar US Counties|MD GPs Per 100k|P99|Ptile|55.381006848
Top 100 Most Similar US Counties|MD GPs Per 100k|Max|Extr|58.37925733
Top 100 Most Similar US Counties|MD Specialists Per 100k|StdDev|Smry|35.236907532
Top 100 Most Similar US Counties|MD Specialists Per 100k|N|Smry|101
Top 100 Most Similar US Counties|MD Specialists Per 100k|Min|Extr|3.73245745
Top 100 Most Similar US Counties|MD Specialists Per 100k|P01|Ptile|10.437012629
Top 100 Most Similar US Counties|MD Specialists Per 100k|P05|Ptile|27.202424902
Top 100 Most Similar US Counties|MD Specialists Per 100k|P10|Ptile|34.351613299
Top 100 Most Similar US Counties|MD Specialists Per 100k|P25|IQR|49.662803488
Top 100 Most Similar US Counties|MD Specialists Per 100k|P40|Ptile|61.195270645
Top 100 Most Similar US Counties|MD Specialists Per 100k|Median|IQR|68.062139539
Top 100 Most Similar US Counties|MD Specialists Per 100k|Mean|Mean|74.331509078
Top 100 Most Similar US Counties|MD Specialists Per 100k|Santa Barbara (P57)|SB|75.095667284
Top 100 Most Similar US Counties|MD Specialists Per 100k|P60|Ptile|77.941454833
Top 100 Most Similar US Counties|MD Specialists Per 100k|P75|IQR|94.140373077
Top 100 Most Similar US Counties|MD Specialists Per 100k|P90|Ptile|121.10788484
Top 100 Most Similar US Counties|MD Specialists Per 100k|P95|Ptile|140.55167371
Top 100 Most Similar US Counties|MD Specialists Per 100k|P99|Ptile|166.9053228
Top 100 Most Similar US Counties|MD Specialists Per 100k|Max|Extr|188.81413723
Top 100 Most Similar US Counties|MDs/DOs Per 100k|StdDev|Smry|90.450362461
Top 100 Most Similar US Counties|MDs/DOs Per 100k|N|Smry|101
Top 100 Most Similar US Counties|MDs/DOs Per 100k|Min|Extr|22.3947447
Top 100 Most Similar US Counties|MDs/DOs Per 100k|P01|Ptile|40.257048711
Top 100 Most Similar US Counties|MDs/DOs Per 100k|P05|Ptile|99.520109689
Top 100 Most Similar US Counties|MDs/DOs Per 100k|P10|Ptile|115.04333709
Top 100 Most Similar US Counties|MDs/DOs Per 100k|P25|IQR|164.14019504
Top 100 Most Similar US Counties|MDs/DOs Per 100k|P40|Ptile|197.73842645
Top 100 Most Similar US Counties|MDs/DOs Per 100k|Santa Barbara (P45)|SB|209.32355541
Top 100 Most Similar US Counties|MDs/DOs Per 100k|Median|IQR|224.34406719
Top 100 Most Similar US Counties|MDs/DOs Per 100k|Mean|Mean|225.11341244
Top 100 Most Similar US Counties|MDs/DOs Per 100k|P60|Ptile|240.78353916
Top 100 Most Similar US Counties|MDs/DOs Per 100k|P75|IQR|280.51944463
Top 100 Most Similar US Counties|MDs/DOs Per 100k|P90|Ptile|330.94411586
Top 100 Most Similar US Counties|MDs/DOs Per 100k|P95|Ptile|396.73999495
Top 100 Most Similar US Counties|MDs/DOs Per 100k|P99|Ptile|466.94016658
Top 100 Most Similar US Counties|MDs/DOs Per 100k|Max|Extr|479.06240643
Top 25 Most Similar US Counties|MD GPs Per 100k|StdDev|Smry|12.710349427
Top 25 Most Similar US Counties|MD GPs Per 100k|N|Smry|26
Top 25 Most Similar US Counties|MD GPs Per 100k|P01|Ptile|7.3948175241
Top 25 Most Similar US Counties|MD GPs Per 100k|Min|Extr|7.3948175241
Top 25 Most Similar US Counties|MD GPs Per 100k|P05|Ptile|15.248925087
Top 25 Most Similar US Counties|MD GPs Per 100k|P10|Ptile|22.136367839
Top 25 Most Similar US Counties|MD GPs Per 100k|P25|IQR|24.507268991
Top 25 Most Similar US Counties|MD GPs Per 100k|Santa Barbara (P25)|SB|24.507269991
Top 25 Most Similar US Counties|MD GPs Per 100k|P40|Ptile|29.268416833
Top 25 Most Similar US Counties|MD GPs Per 100k|Median|IQR|31.275790308
Top 25 Most Similar US Counties|MD GPs Per 100k|P60|Ptile|33.319748422
Top 25 Most Similar US Counties|MD GPs Per 100k|Mean|Mean|33.577836741
Top 25 Most Similar US Counties|MD GPs Per 100k|P75|IQR|41.809331843
Top 25 Most Similar US Counties|MD GPs Per 100k|P90|Ptile|54.337414445
Top 25 Most Similar US Counties|MD GPs Per 100k|P95|Ptile|55.122402357
Top 25 Most Similar US Counties|MD GPs Per 100k|P99|Ptile|55.381006848
Top 25 Most Similar US Counties|MD GPs Per 100k|Max|Extr|55.381006848
Top 25 Most Similar US Counties|MD Specialists Per 100k|N|Smry|26
Top 25 Most Similar US Counties|MD Specialists Per 100k|StdDev|Smry|31.97859756
Top 25 Most Similar US Counties|MD Specialists Per 100k|P01|Ptile|49.481292816
Top 25 Most Similar US Counties|MD Specialists Per 100k|Min|Extr|49.481292816
Top 25 Most Similar US Counties|MD Specialists Per 100k|P05|Ptile|49.662803488
Top 25 Most Similar US Counties|MD Specialists Per 100k|P10|Ptile|50.174428857
Top 25 Most Similar US Counties|MD Specialists Per 100k|P25|IQR|62.609984255
Top 25 Most Similar US Counties|MD Specialists Per 100k|P40|Ptile|68.062139539
Top 25 Most Similar US Counties|MD Specialists Per 100k|Santa Barbara (P48)|SB|75.095669284
Top 25 Most Similar US Counties|MD Specialists Per 100k|Median|IQR|76.782067075
Top 25 Most Similar US Counties|MD Specialists Per 100k|Mean|Mean|86.838266031
Top 25 Most Similar US Counties|MD Specialists Per 100k|P60|Ptile|89.429170495
Top 25 Most Similar US Counties|MD Specialists Per 100k|P75|IQR|116.48314912
Top 25 Most Similar US Counties|MD Specialists Per 100k|P90|Ptile|135.21952044
Top 25 Most Similar US Counties|MD Specialists Per 100k|P95|Ptile|146.90608303
Top 25 Most Similar US Counties|MD Specialists Per 100k|P99|Ptile|150.48530914
Top 25 Most Similar US Counties|MD Specialists Per 100k|Max|Extr|150.48530914
Top 25 Most Similar US Counties|MDs/DOs Per 100k|N|Smry|26
Top 25 Most Similar US Counties|MDs/DOs Per 100k|StdDev|Smry|79.772873691
Top 25 Most Similar US Counties|MDs/DOs Per 100k|P01|Ptile|129.69307275
Top 25 Most Similar US Counties|MDs/DOs Per 100k|Min|Extr|129.69307275
Top 25 Most Similar US Counties|MDs/DOs Per 100k|P05|Ptile|140.8883419
Top 25 Most Similar US Counties|MDs/DOs Per 100k|P10|Ptile|161.7522151
Top 25 Most Similar US Counties|MDs/DOs Per 100k|P25|IQR|195.38383381
Top 25 Most Similar US Counties|MDs/DOs Per 100k|P40|Ptile|209.32355441
Top 25 Most Similar US Counties|MDs/DOs Per 100k|Santa Barbara (P40)|SB|209.32355541
Top 25 Most Similar US Counties|MDs/DOs Per 100k|Median|IQR|240.44754185
Top 25 Most Similar US Counties|MDs/DOs Per 100k|Mean|Mean|252.1013189
Top 25 Most Similar US Counties|MDs/DOs Per 100k|P60|Ptile|262.72763682
Top 25 Most Similar US Counties|MDs/DOs Per 100k|P75|IQR|302.48325015
Top 25 Most Similar US Counties|MDs/DOs Per 100k|P90|Ptile|343.15372101
Top 25 Most Similar US Counties|MDs/DOs Per 100k|P95|Ptile|396.73999495
Top 25 Most Similar US Counties|MDs/DOs Per 100k|P99|Ptile|442.12535977
Top 25 Most Similar US Counties|MDs/DOs Per 100k|Max|Extr|442.12535977
Top 50 Most Similar US Counties|MD GPs Per 100k|StdDev|Smry|12.071839012
Top 50 Most Similar US Counties|MD GPs Per 100k|N|Smry|51
Top 50 Most Similar US Counties|MD GPs Per 100k|P01|Ptile|6.034664839
Top 50 Most Similar US Counties|MD GPs Per 100k|Min|Extr|6.034664839
Top 50 Most Similar US Counties|MD GPs Per 100k|P05|Ptile|10.313212256
Top 50 Most Similar US Counties|MD GPs Per 100k|P10|Ptile|19.476648211
Top 50 Most Similar US Counties|MD GPs Per 100k|Santa Barbara (P23)|SB|24.507269991
Top 50 Most Similar US Counties|MD GPs Per 100k|P25|IQR|25.076979333
Top 50 Most Similar US Counties|MD GPs Per 100k|P40|Ptile|30.829620752
Top 50 Most Similar US Counties|MD GPs Per 100k|Median|IQR|31.978329979
Top 50 Most Similar US Counties|MD GPs Per 100k|Mean|Mean|32.628020682
Top 50 Most Similar US Counties|MD GPs Per 100k|P60|Ptile|33.319748422
Top 50 Most Similar US Counties|MD GPs Per 100k|P75|IQR|39.220953022
Top 50 Most Similar US Counties|MD GPs Per 100k|P90|Ptile|50.528206904
Top 50 Most Similar US Counties|MD GPs Per 100k|P95|Ptile|55.122402357
Top 50 Most Similar US Counties|MD GPs Per 100k|P99|Ptile|58.37925733
Top 50 Most Similar US Counties|MD GPs Per 100k|Max|Extr|58.37925733
Top 50 Most Similar US Counties|MD Specialists Per 100k|StdDev|Smry|35.745568578
Top 50 Most Similar US Counties|MD Specialists Per 100k|N|Smry|51
Top 50 Most Similar US Counties|MD Specialists Per 100k|P01|Ptile|17.532460836
Top 50 Most Similar US Counties|MD Specialists Per 100k|Min|Extr|17.532460836
Top 50 Most Similar US Counties|MD Specialists Per 100k|P05|Ptile|41.560476902
Top 50 Most Similar US Counties|MD Specialists Per 100k|P10|Ptile|49.662803488
Top 50 Most Similar US Counties|MD Specialists Per 100k|P25|IQR|62.043044485
Top 50 Most Similar US Counties|MD Specialists Per 100k|P40|Ptile|71.895397437
Top 50 Most Similar US Counties|MD Specialists Per 100k|Santa Barbara (P42)|SB|75.095669284
Top 50 Most Similar US Counties|MD Specialists Per 100k|Median|IQR|82.793512441
Top 50 Most Similar US Counties|MD Specialists Per 100k|Mean|Mean|87.2843105
Top 50 Most Similar US Counties|MD Specialists Per 100k|P60|Ptile|91.532684042
Top 50 Most Similar US Counties|MD Specialists Per 100k|P75|IQR|115.42745828
Top 50 Most Similar US Counties|MD Specialists Per 100k|P90|Ptile|135.21952044
Top 50 Most Similar US Counties|MD Specialists Per 100k|P95|Ptile|150.48530914
Top 50 Most Similar US Counties|MD Specialists Per 100k|P99|Ptile|188.81413723
Top 50 Most Similar US Counties|MD Specialists Per 100k|Max|Extr|188.81413723
Top 50 Most Similar US Counties|MDs/DOs Per 100k|N|Smry|51
Top 50 Most Similar US Counties|MDs/DOs Per 100k|StdDev|Smry|89.841540928
Top 50 Most Similar US Counties|MDs/DOs Per 100k|P01|Ptile|97.975516434
Top 50 Most Similar US Counties|MDs/DOs Per 100k|Min|Extr|97.975516434
Top 50 Most Similar US Counties|MDs/DOs Per 100k|P05|Ptile|129.69307275
Top 50 Most Similar US Counties|MDs/DOs Per 100k|P10|Ptile|161.7522151
Top 50 Most Similar US Counties|MDs/DOs Per 100k|P25|IQR|195.38383381
Top 50 Most Similar US Counties|MDs/DOs Per 100k|Santa Barbara (P34)|SB|209.32355541
Top 50 Most Similar US Counties|MDs/DOs Per 100k|P40|Ptile|233.0658067
Top 50 Most Similar US Counties|MDs/DOs Per 100k|Median|IQR|243.73026644
Top 50 Most Similar US Counties|MDs/DOs Per 100k|Mean|Mean|259.76707898
Top 50 Most Similar US Counties|MDs/DOs Per 100k|P60|Ptile|281.83281187
Top 50 Most Similar US Counties|MDs/DOs Per 100k|P75|IQR|317.64293932
Top 50 Most Similar US Counties|MDs/DOs Per 100k|P90|Ptile|343.15372101
Top 50 Most Similar US Counties|MDs/DOs Per 100k|P95|Ptile|456.9880056
Top 50 Most Similar US Counties|MDs/DOs Per 100k|P99|Ptile|479.06240643
Top 50 Most Similar US Counties|MDs/DOs Per 100k|Max|Extr|479.06240643
