Geography|Similarity|Measure|Statistic|Xaxis|Yaxis|Highlight
California|All Counties|MDs/DOs Per 1,000|P60|1.681456423|0.4|N
California|All Counties|MDs/DOs Per 1,000|P75|2.271001204|0.25|N
California|All Counties|MDs/DOs Per 1,000|P90|2.7078933955|0.1|N
California|All Counties|MDs/DOs Per 1,000|P95|3.2546142201|0.05|N
California|All Counties|MDs/DOs Per 1,000|P99|4.6537873036|0.01|N
California|All Counties|MDs/DOs Per 1,000|Santa Barbara (P71)|2.0932345441|0.29|N
California|All Counties|MDs/DOs Per 1,000|Santa Barbara (P71)|2.0932345441|0.29|Y
California|All Counties|MDs/DOs Per 1,000|StdDev|0.963493728||N
California|Central MSA Counties of 250k-1M|MD GPs Per 1,000|Max|0.5512240236|0|N
California|Central MSA Counties of 250k-1M|MD GPs Per 1,000|Mean|0.3196656275||N
California|Central MSA Counties of 250k-1M|MD GPs Per 1,000|Median|0.3115465601|0.5|N
California|Central MSA Counties of 250k-1M|MD GPs Per 1,000|Min|0.1834940684|0|N
California|Central MSA Counties of 250k-1M|MD GPs Per 1,000|N|13||N
California|Central MSA Counties of 250k-1M|MD GPs Per 1,000|P1|0.1834940684|0.01|N
California|Central MSA Counties of 250k-1M|MD GPs Per 1,000|P10|0.208573248|0.1|N
California|Central MSA Counties of 250k-1M|MD GPs Per 1,000|P25|0.2450726899|0.25|N
California|Central MSA Counties of 250k-1M|MD GPs Per 1,000|P40|0.2926841683|0.4|N
California|Central MSA Counties of 250k-1M|MD GPs Per 1,000|P5|0.1834940684|0.05|N
California|Central MSA Counties of 250k-1M|MD GPs Per 1,000|P60|0.3154821171|0.4|N
California|Central MSA Counties of 250k-1M|MD GPs Per 1,000|P75|0.3294962958|0.25|N
California|Central MSA Counties of 250k-1M|MD GPs Per 1,000|P90|0.5334815226|0.1|N
California|Central MSA Counties of 250k-1M|MD GPs Per 1,000|P95|0.5512240236|0.05|N
California|Central MSA Counties of 250k-1M|MD GPs Per 1,000|P99|0.5512240236|0.01|N
California|Central MSA Counties of 250k-1M|MD GPs Per 1,000|Santa Barbara (P28)|0.2450736899|0.28|N
California|Central MSA Counties of 250k-1M|MD GPs Per 1,000|Santa Barbara (P28)|0.2450736899|0.28|Y
California|Central MSA Counties of 250k-1M|MD GPs Per 1,000|StdDev|0.1141511357||N
California|Central MSA Counties of 250k-1M|MD Specialists Per 1,000|Max|0.7509566828|0|N
California|Central MSA Counties of 250k-1M|MD Specialists Per 1,000|Mean|0.5342955192||N
California|Central MSA Counties of 250k-1M|MD Specialists Per 1,000|Median|0.5213286048|0.5|N
California|Central MSA Counties of 250k-1M|MD Specialists Per 1,000|Min|0.2076977067|0|N
California|Central MSA Counties of 250k-1M|MD Specialists Per 1,000|N|13||N
California|Central MSA Counties of 250k-1M|MD Specialists Per 1,000|P1|0.2076977067|0.01|N
California|Central MSA Counties of 250k-1M|MD Specialists Per 1,000|P10|0.3285824016|0.1|N
California|Central MSA Counties of 250k-1M|MD Specialists Per 1,000|P25|0.4948129282|0.25|N
California|Central MSA Counties of 250k-1M|MD Specialists Per 1,000|P40|0.5017442886|0.4|N
California|Central MSA Counties of 250k-1M|MD Specialists Per 1,000|P5|0.2076977067|0.05|N
California|Central MSA Counties of 250k-1M|MD Specialists Per 1,000|P60|0.6204304449|0.4|N
California|Central MSA Counties of 250k-1M|MD Specialists Per 1,000|P75|0.6441744405|0.25|N
California|Central MSA Counties of 250k-1M|MD Specialists Per 1,000|P90|0.7121371555|0.1|N
California|Central MSA Counties of 250k-1M|MD Specialists Per 1,000|P95|0.7509566828|0.05|N
California|Central MSA Counties of 250k-1M|MD Specialists Per 1,000|P99|0.7509566828|0.01|N
California|Central MSA Counties of 250k-1M|MD Specialists Per 1,000|Santa Barbara (P92)|0.7509556828|0.08|N
California|Central MSA Counties of 250k-1M|MD Specialists Per 1,000|Santa Barbara (P92)|0.7509556828|0.08|Y
California|Central MSA Counties of 250k-1M|MD Specialists Per 1,000|StdDev|0.1574433158||N
California|Central MSA Counties of 250k-1M|MDs/DOs Per 1,000|Max|2.413136281|0|N
California|Central MSA Counties of 250k-1M|MDs/DOs Per 1,000|Mean|1.6655754882||N
California|Central MSA Counties of 250k-1M|MDs/DOs Per 1,000|Median|1.681456423|0.5|N
California|Central MSA Counties of 250k-1M|MDs/DOs Per 1,000|Min|0.7913998825|0|N
California|Central MSA Counties of 250k-1M|MDs/DOs Per 1,000|N|13||N
California|Central MSA Counties of 250k-1M|MDs/DOs Per 1,000|P1|0.7913998825|0.01|N
California|Central MSA Counties of 250k-1M|MDs/DOs Per 1,000|P10|0.9622770334|0.1|N
California|Central MSA Counties of 250k-1M|MDs/DOs Per 1,000|P25|1.2969307275|0.25|N
California|Central MSA Counties of 250k-1M|MDs/DOs Per 1,000|P40|1.617522151|0.4|N
California|Central MSA Counties of 250k-1M|MDs/DOs Per 1,000|P5|0.7913998825|0.05|N
California|Central MSA Counties of 250k-1M|MDs/DOs Per 1,000|P60|1.6959960621|0.4|N
California|Central MSA Counties of 250k-1M|MDs/DOs Per 1,000|P75|2.0932355441|0.25|N
California|Central MSA Counties of 250k-1M|MDs/DOs Per 1,000|P90|2.4127631985|0.1|N
California|Central MSA Counties of 250k-1M|MDs/DOs Per 1,000|P95|2.413136281|0.05|N
California|Central MSA Counties of 250k-1M|MDs/DOs Per 1,000|P99|2.413136281|0.01|N
California|Central MSA Counties of 250k-1M|MDs/DOs Per 1,000|Santa Barbara (P71)|2.0932345441|0.29|N
California|Central MSA Counties of 250k-1M|MDs/DOs Per 1,000|Santa Barbara (P71)|2.0932345441|0.29|Y
California|Central MSA Counties of 250k-1M|MDs/DOs Per 1,000|StdDev|0.5445543722||N
California|Top 100 Most Similar US Counties|MD GPs Per 1,000|Max|0.5512240236|0|N
California|Top 100 Most Similar US Counties|MD GPs Per 1,000|Mean|0.3327829572||N
California|Top 100 Most Similar US Counties|MD GPs Per 1,000|Median|0.3154821171|0.5|N
California|Top 100 Most Similar US Counties|MD GPs Per 1,000|Min|0.208573248|0|N
California|Top 100 Most Similar US Counties|MD GPs Per 1,000|N|11||N
California|Top 100 Most Similar US Counties|MD GPs Per 1,000|P1|0.208573248|0.01|N
California|Top 100 Most Similar US Counties|MD GPs Per 1,000|P10|0.2213636784|0.1|N
California|Top 100 Most Similar US Counties|MD GPs Per 1,000|P25|0.2450726899|0.25|N
California|Top 100 Most Similar US Counties|MD GPs Per 1,000|P40|0.2926841683|0.4|N
California|Top 100 Most Similar US Counties|MD GPs Per 1,000|P5|0.208573248|0.05|N
California|Top 100 Most Similar US Counties|MD GPs Per 1,000|P60|0.3202554617|0.4|N
California|Top 100 Most Similar US Counties|MD GPs Per 1,000|P75|0.3922095302|0.25|N
California|Top 100 Most Similar US Counties|MD GPs Per 1,000|P90|0.5334815226|0.1|N
California|Top 100 Most Similar US Counties|MD GPs Per 1,000|P95|0.5512240236|0.05|N
California|Top 100 Most Similar US Counties|MD GPs Per 1,000|P99|0.5512240236|0.01|N
California|Top 100 Most Similar US Counties|MD GPs Per 1,000|Santa Barbara (P25)|0.2450736899|0.25|N
California|Top 100 Most Similar US Counties|MD GPs Per 1,000|Santa Barbara (P25)|0.2450736899|0.25|Y
California|Top 100 Most Similar US Counties|MD GPs Per 1,000|StdDev|0.1165609116||N
California|Top 100 Most Similar US Counties|MD Specialists Per 1,000|Max|0.7509566828|0|N
California|Top 100 Most Similar US Counties|MD Specialists Per 1,000|Mean|0.5826874219||N
California|Top 100 Most Similar US Counties|MD Specialists Per 1,000|Median|0.6204304449|0.5|N
California|Top 100 Most Similar US Counties|MD Specialists Per 1,000|Min|0.383863531|0|N
California|Top 100 Most Similar US Counties|MD Specialists Per 1,000|N|11||N
California|Top 100 Most Similar US Counties|MD Specialists Per 1,000|P1|0.383863531|0.01|N
California|Top 100 Most Similar US Counties|MD Specialists Per 1,000|P10|0.4948129282|0.1|N
California|Top 100 Most Similar US Counties|MD Specialists Per 1,000|P25|0.4966280349|0.25|N
California|Top 100 Most Similar US Counties|MD Specialists Per 1,000|P40|0.5213286048|0.4|N
California|Top 100 Most Similar US Counties|MD Specialists Per 1,000|P5|0.383863531|0.05|N
California|Top 100 Most Similar US Counties|MD Specialists Per 1,000|P60|0.6260998425|0.4|N
California|Top 100 Most Similar US Counties|MD Specialists Per 1,000|P75|0.6573856874|0.25|N
California|Top 100 Most Similar US Counties|MD Specialists Per 1,000|P90|0.7121371555|0.1|N
California|Top 100 Most Similar US Counties|MD Specialists Per 1,000|P95|0.7509566828|0.05|N
California|Top 100 Most Similar US Counties|MD Specialists Per 1,000|P99|0.7509566828|0.01|N
California|Top 100 Most Similar US Counties|MD Specialists Per 1,000|Santa Barbara (P91)|0.7509556828|0.09|N
California|Top 100 Most Similar US Counties|MD Specialists Per 1,000|Santa Barbara (P91)|0.7509556828|0.09|Y
California|Top 100 Most Similar US Counties|MD Specialists Per 1,000|StdDev|0.1107778027||N
California|Top 100 Most Similar US Counties|MDs/DOs Per 1,000|Max|2.413136281|0|N
California|Top 100 Most Similar US Counties|MDs/DOs Per 1,000|Mean|1.808982221||N
California|Top 100 Most Similar US Counties|MDs/DOs Per 1,000|Median|1.6959960621|0.5|N
California|Top 100 Most Similar US Counties|MDs/DOs Per 1,000|Min|1.0706020445|0|N
California|Top 100 Most Similar US Counties|MDs/DOs Per 1,000|N|11||N
California|Top 100 Most Similar US Counties|MDs/DOs Per 1,000|P1|1.0706020445|0.01|N
California|Top 100 Most Similar US Counties|MDs/DOs Per 1,000|P10|1.2969307275|0.1|N
California|Top 100 Most Similar US Counties|MDs/DOs Per 1,000|P25|1.408883419|0.25|N
California|Top 100 Most Similar US Counties|MDs/DOs Per 1,000|P40|1.681456423|0.4|N
California|Top 100 Most Similar US Counties|MDs/DOs Per 1,000|P5|1.0706020445|0.05|N
California|Top 100 Most Similar US Counties|MDs/DOs Per 1,000|P60|1.9372773765|0.4|N
California|Top 100 Most Similar US Counties|MDs/DOs Per 1,000|P75|2.271001204|0.25|N
California|Top 100 Most Similar US Counties|MDs/DOs Per 1,000|P90|2.4127631985|0.1|N
California|Top 100 Most Similar US Counties|MDs/DOs Per 1,000|P95|2.413136281|0.05|N
California|Top 100 Most Similar US Counties|MDs/DOs Per 1,000|P99|2.413136281|0.01|N
California|Top 100 Most Similar US Counties|MDs/DOs Per 1,000|Santa Barbara (P66)|2.0932345441|0.34|N
California|Top 100 Most Similar US Counties|MDs/DOs Per 1,000|Santa Barbara (P66)|2.0932345441|0.34|Y
California|Top 100 Most Similar US Counties|MDs/DOs Per 1,000|StdDev|0.4553505753||N
California|Top 25 Most Similar US Counties|MD GPs Per 1,000|Max|0.5512240236|0|N
California|Top 25 Most Similar US Counties|MD GPs Per 1,000|Mean|0.3469492206||N
California|Top 25 Most Similar US Counties|MD GPs Per 1,000|Median|0.3154821171|0.5|N
California|Top 25 Most Similar US Counties|MD GPs Per 1,000|Min|0.2213636784|0|N
California|Top 25 Most Similar US Counties|MD GPs Per 1,000|N|9||N
California|Top 25 Most Similar US Counties|MD GPs Per 1,000|P1|0.2213636784|0.01|N
California|Top 25 Most Similar US Counties|MD GPs Per 1,000|P10|0.2213636784|0.1|N
California|Top 25 Most Similar US Counties|MD GPs Per 1,000|P25|0.2507697933|0.25|N
California|Top 25 Most Similar US Counties|MD GPs Per 1,000|P40|0.2926841683|0.4|N
California|Top 25 Most Similar US Counties|MD GPs Per 1,000|P5|0.2213636784|0.05|N
California|Top 25 Most Similar US Counties|MD GPs Per 1,000|P60|0.3202554617|0.4|N
California|Top 25 Most Similar US Counties|MD GPs Per 1,000|P75|0.3922095302|0.25|N
California|Top 25 Most Similar US Counties|MD GPs Per 1,000|P90|0.5512240236|0.1|N
California|Top 25 Most Similar US Counties|MD GPs Per 1,000|P95|0.5512240236|0.05|N
California|Top 25 Most Similar US Counties|MD GPs Per 1,000|P99|0.5512240236|0.01|N
California|Top 25 Most Similar US Counties|MD GPs Per 1,000|Santa Barbara (P20)|0.2450736899|0.2|N
California|Top 25 Most Similar US Counties|MD GPs Per 1,000|Santa Barbara (P20)|0.2450736899|0.2|Y
California|Top 25 Most Similar US Counties|MD GPs Per 1,000|StdDev|0.1217679452||N
California|Top 25 Most Similar US Counties|MD Specialists Per 1,000|Max|0.7509566828|0|N
California|Top 25 Most Similar US Counties|MD Specialists Per 1,000|Mean|0.5903956616||N
California|Top 25 Most Similar US Counties|MD Specialists Per 1,000|Median|0.6204304449|0.5|N
California|Top 25 Most Similar US Counties|MD Specialists Per 1,000|Min|0.4948129282|0|N
California|Top 25 Most Similar US Counties|MD Specialists Per 1,000|N|9||N
California|Top 25 Most Similar US Counties|MD Specialists Per 1,000|P1|0.4948129282|0.01|N
California|Top 25 Most Similar US Counties|MD Specialists Per 1,000|P10|0.4948129282|0.1|N
California|Top 25 Most Similar US Counties|MD Specialists Per 1,000|P25|0.5017442886|0.25|N
California|Top 25 Most Similar US Counties|MD Specialists Per 1,000|P40|0.5213286048|0.4|N
California|Top 25 Most Similar US Counties|MD Specialists Per 1,000|P5|0.4948129282|0.05|N
California|Top 25 Most Similar US Counties|MD Specialists Per 1,000|P60|0.6260998425|0.4|N
California|Top 25 Most Similar US Counties|MD Specialists Per 1,000|P75|0.6441744405|0.25|N
California|Top 25 Most Similar US Counties|MD Specialists Per 1,000|P90|0.7509566828|0.1|N
California|Top 25 Most Similar US Counties|MD Specialists Per 1,000|P95|0.7509566828|0.05|N
California|Top 25 Most Similar US Counties|MD Specialists Per 1,000|P99|0.7509566828|0.01|N
California|Top 25 Most Similar US Counties|MD Specialists Per 1,000|Santa Barbara (P90)|0.7509556828|0.1|N
California|Top 25 Most Similar US Counties|MD Specialists Per 1,000|Santa Barbara (P90)|0.7509556828|0.1|Y
California|Top 25 Most Similar US Counties|MD Specialists Per 1,000|StdDev|0.0907567421||N
California|Top 25 Most Similar US Counties|MDs/DOs Per 1,000|Max|2.413136281|0|N
California|Top 25 Most Similar US Counties|MDs/DOs Per 1,000|Mean|1.8239376876||N
California|Top 25 Most Similar US Counties|MDs/DOs Per 1,000|Median|1.6959960621|0.5|N
California|Top 25 Most Similar US Counties|MDs/DOs Per 1,000|Min|1.2969307275|0|N
California|Top 25 Most Similar US Counties|MDs/DOs Per 1,000|N|9||N
California|Top 25 Most Similar US Counties|MDs/DOs Per 1,000|P1|1.2969307275|0.01|N
California|Top 25 Most Similar US Counties|MDs/DOs Per 1,000|P10|1.2969307275|0.1|N
California|Top 25 Most Similar US Counties|MDs/DOs Per 1,000|P25|1.617522151|0.25|N
California|Top 25 Most Similar US Counties|MDs/DOs Per 1,000|P40|1.681456423|0.4|N
California|Top 25 Most Similar US Counties|MDs/DOs Per 1,000|P5|1.2969307275|0.05|N
California|Top 25 Most Similar US Counties|MDs/DOs Per 1,000|P60|1.9372773765|0.4|N
California|Top 25 Most Similar US Counties|MDs/DOs Per 1,000|P75|2.0932355441|0.25|N
California|Top 25 Most Similar US Counties|MDs/DOs Per 1,000|P90|2.413136281|0.1|N
California|Top 25 Most Similar US Counties|MDs/DOs Per 1,000|P95|2.413136281|0.05|N
California|Top 25 Most Similar US Counties|MDs/DOs Per 1,000|P99|2.413136281|0.01|N
California|Top 25 Most Similar US Counties|MDs/DOs Per 1,000|Santa Barbara (P70)|2.0932345441|0.3|N
California|Top 25 Most Similar US Counties|MDs/DOs Per 1,000|Santa Barbara (P70)|2.0932345441|0.3|Y
California|Top 25 Most Similar US Counties|MDs/DOs Per 1,000|StdDev|0.3810629405||N
California|Top 50 Most Similar US Counties|MD GPs Per 1,000|Max|0.5512240236|0|N
California|Top 50 Most Similar US Counties|MD GPs Per 1,000|Mean|0.3452039281||N
California|Top 50 Most Similar US Counties|MD GPs Per 1,000|Median|0.3178687894|0.5|N
California|Top 50 Most Similar US Counties|MD GPs Per 1,000|Min|0.2213636784|0|N
California|Top 50 Most Similar US Counties|MD GPs Per 1,000|N|10||N
California|Top 50 Most Similar US Counties|MD GPs Per 1,000|P1|0.2213636784|0.01|N
California|Top 50 Most Similar US Counties|MD GPs Per 1,000|P10|0.2332181841|0.1|N
California|Top 50 Most Similar US Counties|MD GPs Per 1,000|P25|0.2507697933|0.25|N
California|Top 50 Most Similar US Counties|MD GPs Per 1,000|P40|0.3040831427|0.4|N
California|Top 50 Most Similar US Counties|MD GPs Per 1,000|P5|0.2213636784|0.05|N
California|Top 50 Most Similar US Counties|MD GPs Per 1,000|P60|0.3248758788|0.4|N
California|Top 50 Most Similar US Counties|MD GPs Per 1,000|P75|0.3922095302|0.25|N
California|Top 50 Most Similar US Counties|MD GPs Per 1,000|P90|0.5423527731|0.1|N
California|Top 50 Most Similar US Counties|MD GPs Per 1,000|P95|0.5512240236|0.05|N
California|Top 50 Most Similar US Counties|MD GPs Per 1,000|P99|0.5512240236|0.01|N
California|Top 50 Most Similar US Counties|MD GPs Per 1,000|Santa Barbara (P18)|0.2450736899|0.18|N
California|Top 50 Most Similar US Counties|MD GPs Per 1,000|Santa Barbara (P18)|0.2450736899|0.18|Y
California|Top 50 Most Similar US Counties|MD GPs Per 1,000|StdDev|0.1149365061||N
California|Top 50 Most Similar US Counties|MD Specialists Per 1,000|Max|0.7509566828|0|N
California|Top 50 Most Similar US Counties|MD Specialists Per 1,000|Mean|0.602569811||N
California|Top 50 Most Similar US Counties|MD Specialists Per 1,000|Median|0.6232651437|0.5|N
California|Top 50 Most Similar US Counties|MD Specialists Per 1,000|Min|0.4948129282|0|N
California|Top 50 Most Similar US Counties|MD Specialists Per 1,000|N|10||N
California|Top 50 Most Similar US Counties|MD Specialists Per 1,000|P1|0.4948129282|0.01|N
California|Top 50 Most Similar US Counties|MD Specialists Per 1,000|P10|0.4957204815|0.1|N
California|Top 50 Most Similar US Counties|MD Specialists Per 1,000|P25|0.5017442886|0.25|N
California|Top 50 Most Similar US Counties|MD Specialists Per 1,000|P40|0.5708795248|0.4|N
California|Top 50 Most Similar US Counties|MD Specialists Per 1,000|P5|0.4948129282|0.05|N
California|Top 50 Most Similar US Counties|MD Specialists Per 1,000|P60|0.6351371415|0.4|N
California|Top 50 Most Similar US Counties|MD Specialists Per 1,000|P75|0.6573856874|0.25|N
California|Top 50 Most Similar US Counties|MD Specialists Per 1,000|P90|0.7315469192|0.1|N
California|Top 50 Most Similar US Counties|MD Specialists Per 1,000|P95|0.7509566828|0.05|N
California|Top 50 Most Similar US Counties|MD Specialists Per 1,000|P99|0.7509566828|0.01|N
California|Top 50 Most Similar US Counties|MD Specialists Per 1,000|Santa Barbara (P90)|0.7509556828|0.1|N
California|Top 50 Most Similar US Counties|MD Specialists Per 1,000|Santa Barbara (P90)|0.7509556828|0.1|Y
California|Top 50 Most Similar US Counties|MD Specialists Per 1,000|StdDev|0.0938279644||N
California|Top 50 Most Similar US Counties|MDs/DOs Per 1,000|Max|2.413136281|0|N
California|Top 50 Most Similar US Counties|MDs/DOs Per 1,000|Mean|1.8828202387||N
California|Top 50 Most Similar US Counties|MDs/DOs Per 1,000|Median|1.8166367193|0.5|N
California|Top 50 Most Similar US Counties|MDs/DOs Per 1,000|Min|1.2969307275|0|N
California|Top 50 Most Similar US Counties|MDs/DOs Per 1,000|N|10||N
California|Top 50 Most Similar US Counties|MDs/DOs Per 1,000|P1|1.2969307275|0.01|N
California|Top 50 Most Similar US Counties|MDs/DOs Per 1,000|P10|1.3529070732|0.1|N
California|Top 50 Most Similar US Counties|MDs/DOs Per 1,000|P25|1.617522151|0.25|N
California|Top 50 Most Similar US Counties|MDs/DOs Per 1,000|P40|1.6887262425|0.4|N
California|Top 50 Most Similar US Counties|MDs/DOs Per 1,000|P5|1.2969307275|0.05|N
California|Top 50 Most Similar US Counties|MDs/DOs Per 1,000|P60|2.0152564603|0.4|N
California|Top 50 Most Similar US Counties|MDs/DOs Per 1,000|P75|2.271001204|0.25|N
California|Top 50 Most Similar US Counties|MDs/DOs Per 1,000|P90|2.4129497397|0.1|N
California|Top 50 Most Similar US Counties|MDs/DOs Per 1,000|P95|2.413136281|0.05|N
California|Top 50 Most Similar US Counties|MDs/DOs Per 1,000|P99|2.413136281|0.01|N
California|Top 50 Most Similar US Counties|MDs/DOs Per 1,000|Santa Barbara (P63)|2.0932345441|0.37|N
California|Top 50 Most Similar US Counties|MDs/DOs Per 1,000|Santa Barbara (P63)|2.0932345441|0.37|Y
California|Top 50 Most Similar US Counties|MDs/DOs Per 1,000|StdDev|0.4046556356||N
USA|All Counties|MD GPs Per 1,000|Max|3.0911901082|0|N
USA|All Counties|MD GPs Per 1,000|Mean|0.2558353182||N
USA|All Counties|MD GPs Per 1,000|Median|0.2162318005|0.5|N
USA|All Counties|MD GPs Per 1,000|Min|0|0|N
USA|All Counties|MD GPs Per 1,000|N|2927||N
USA|All Counties|MD GPs Per 1,000|P1|0|0.01|N
USA|All Counties|MD GPs Per 1,000|P10|0.0645515283|0.1|N
USA|All Counties|MD GPs Per 1,000|P25|0.1317870322|0.25|N
USA|All Counties|MD GPs Per 1,000|P40|0.1834940684|0.4|N
USA|All Counties|MD GPs Per 1,000|P5|0|0.05|N
USA|All Counties|MD GPs Per 1,000|P60|0.2577762502|0.4|N
USA|All Counties|MD GPs Per 1,000|P75|0.3289690111|0.25|N
USA|All Counties|MD GPs Per 1,000|P90|0.4764145736|0.1|N
USA|All Counties|MD GPs Per 1,000|P95|0.599880024|0.05|N
USA|All Counties|MD GPs Per 1,000|P99|0.9754367296|0.01|N
USA|All Counties|MD GPs Per 1,000|Santa Barbara (P57)|0.2450716899|0.43|N
USA|All Counties|MD GPs Per 1,000|Santa Barbara (P57)|0.2450716899|0.43|Y
USA|All Counties|MD GPs Per 1,000|StdDev|0.2059318025||N
USA|All Counties|MD Specialists Per 1,000|Max|2.1663619744|0|N
USA|All Counties|MD Specialists Per 1,000|Mean|0.2715188453||N
USA|All Counties|MD Specialists Per 1,000|Median|0.1594351441|0.5|N
USA|All Counties|MD Specialists Per 1,000|Min|0|0|N
USA|All Counties|MD Specialists Per 1,000|N|2927||N
USA|All Counties|MD Specialists Per 1,000|P1|0|0.01|N
USA|All Counties|MD Specialists Per 1,000|P10|0|0.1|N
USA|All Counties|MD Specialists Per 1,000|P25|0.0426457418|0.25|N
USA|All Counties|MD Specialists Per 1,000|P40|0.1106072337|0.4|N
USA|All Counties|MD Specialists Per 1,000|P5|0|0.05|N
USA|All Counties|MD Specialists Per 1,000|P60|0.2259291336|0.4|N
USA|All Counties|MD Specialists Per 1,000|P75|0.3768334396|0.25|N
USA|All Counties|MD Specialists Per 1,000|P90|0.7001178616|0.1|N
USA|All Counties|MD Specialists Per 1,000|P95|0.9513306671|0.05|N
USA|All Counties|MD Specialists Per 1,000|P99|1.5610169957|0.01|N
USA|All Counties|MD Specialists Per 1,000|Santa Barbara (P91)|0.7509556828|0.09|N
USA|All Counties|MD Specialists Per 1,000|Santa Barbara (P91)|0.7509556828|0.09|Y
USA|All Counties|MD Specialists Per 1,000|StdDev|0.3288356873||N
USA|All Counties|MDs/DOs Per 1,000|Max|4.8708645593|0|N
USA|All Counties|MDs/DOs Per 1,000|Mean|1.0089078693||N
USA|All Counties|MDs/DOs Per 1,000|Median|0.7373991498|0.5|N
USA|All Counties|MDs/DOs Per 1,000|Min|0.035151856|0|N
USA|All Counties|MDs/DOs Per 1,000|N|2927||N
USA|All Counties|MDs/DOs Per 1,000|P1|0.0968335431|0.01|N
USA|All Counties|MDs/DOs Per 1,000|P10|0.2445585718|0.1|N
USA|All Counties|MDs/DOs Per 1,000|P25|0.4128044433|0.25|N
USA|All Counties|MDs/DOs Per 1,000|P40|0.5921876779|0.4|N
USA|All Counties|MDs/DOs Per 1,000|P5|0.1686056314|0.05|N
USA|All Counties|MDs/DOs Per 1,000|P60|0.9207931843|0.4|N
USA|All Counties|MDs/DOs Per 1,000|P75|1.3168086754|0.25|N
USA|All Counties|MDs/DOs Per 1,000|P90|2.1962082847|0.1|N
USA|All Counties|MDs/DOs Per 1,000|P95|2.8002319484|0.05|N
USA|All Counties|MDs/DOs Per 1,000|P99|4.1207056571|0.01|N
USA|All Counties|MDs/DOs Per 1,000|Santa Barbara (P88)|2.0932345441|0.12|N
USA|All Counties|MDs/DOs Per 1,000|Santa Barbara (P88)|2.0932345441|0.12|Y
USA|All Counties|MDs/DOs Per 1,000|StdDev|0.8502945195||N
USA|Central MSA Counties of 250k-1M|MD GPs Per 1,000|Max|0.8529997157|0|N
USA|Central MSA Counties of 250k-1M|MD GPs Per 1,000|Mean|0.2792003891||N
